station_id,NOM_USUEL,LAT,LON,ALTI_x,date,PMERM,QPMERM,PMERMIN,QPMERMIN,INST,QINST,GLOT,QGLOT,SIGMA,QSIGMA,UN,QUN,HUN,QHUN,UX,QUX,HUX,QHUX,UM,QUM,DHUMI40,QDHUMI40,DHUMI80,QDHUMI80,TSVM,QTSVM,ETPMON,QETPMON,ETPGRILLE,QETPGRILLE,NEIGETOTX,QNEIGETOTX,NEIGETOT06,QNEIGETOT06,NEIG,QNEIG,BROU,QBROU,GELEE,QGELEE,FUMEE,QFUMEE,BRUME,QBRUME,ALTI_y,RR,QRR,TN,QTN,HTN,QHTN,TX,QTX,HTX,QHTX,TM,QTM,TNTXM,QTNTXM,TAMPLI,QTAMPLI,TNSOL,QTNSOL,TN50,QTN50,DG,QDG,FFM,QFFM,FXY,QFXY,DXY,QDXY,HXY,QHXY,FXI,QFXI,DXI,QDXI,HXI,QHXI,FXI3S,QFXI3S,QDXI3S,HXI3S,QHXI3S,CODE_STIF_TRNS_x,CODE_STIF_RES_x,LIBELLE_ARRET_x,lda,CATEGORIE_TITRE_x,NB_VALD_x,Rang,Réseau,station_name,traffic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,Year,JOUR,CODE_STIF_TRNS_y,CODE_STIF_RES_y,CODE_STIF_ARRET_x,LIBELLE_ARRET_y,ID_REFA_LDA_x,CATEGORIE_TITRE_y,NB_VALD_y,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET_y,LIBELLE_ARRET,ID_REFA_LDA_y,CAT_JOUR,TRNC_HORR_60,pourc_validations,Code postal arrondissement - Commune,Référence Chantier,start_date,end_date,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,disruption_category,disruption_effect,reseau,mode,probleme
75110001,LARIBOISIERE,48.882833,2.352,55.0,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,9.0,,,,,,,,,,,,,,,55,1.4,1.0,11.1,1.0,1021.0,9.0,12.7,1.0,1352.0,9.0,11.4,1.0,11.9,1.0,1.6,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75110,,,,,,,,,,,,,,,,,,0
75112004,ST-ANTOINE,48.848167,2.380833,,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75112,,,,,,,,,,,,,,,,,,0
75114001,PARIS-MONTSOURIS,48.821667,2.337833,75.0,2023-01-02,1021.3,1.0,1013.2,1.0,93.0,9.0,257.0,9.0,19.0,9.0,67.0,1.0,1445.0,9.0,94.0,1.0,731.0,9.0,86.0,1.0,0.0,9.0,1105.0,9.0,10.7,9.0,0.8,9.0,1.3,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,,,0.0,9.0,0.0,9.0,75,1.6,1.0,9.2,1.0,1735.0,9.0,11.9,1.0,1250.0,9.0,10.2,1.0,10.6,1.0,2.7,1.0,4.8,9.0,7.8,9.0,0.0,9.0,2.9,1.0,6.4,1.0,220.0,1.0,26.0,9.0,12.8,1.0,230.0,1.0,4.0,9.0,10.9,1.0,,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75.0,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,9.0,,,,,,,,,,,,,,,75,,,9.0,1.0,1751.0,9.0,12.3,1.0,1251.0,9.0,10.1,1.0,10.7,1.0,3.3,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75116008,LONGCHAMP,48.854833,2.233667,27.0,2023-01-02,,,,,104.0,9.0,292.0,9.0,21.0,9.0,64.0,1.0,1451.0,9.0,94.0,1.0,556.0,9.0,85.0,1.0,0.0,9.0,1129.0,9.0,10.6,9.0,0.5,9.0,0.7,9.0,,,,,,,,,,,,,,,27,0.8,1.0,6.7,1.0,1714.0,9.0,12.8,1.0,1313.0,9.0,10.1,1.0,9.8,1.0,6.1,1.0,2.3,9.0,,,0.0,9.0,2.3,1.0,4.9,1.0,210.0,1.0,106.0,9.0,10.7,1.0,220.0,1.0,40.0,9.0,9.3,9.0,,32.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75116,,,,,,,,,,,,,,,,,,0
75119001,BUTTES CHAUMONT,48.876833,2.380833,,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75119,,,,,,,,,,,,,,,,,,0
75106001,LUXEMBOURG,48.844667,2.333833,46.0,2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,9.0,,,,,,,,,,,,,,,46,1.6,1.0,5.7,1.0,252.0,9.0,11.2,1.0,539.0,9.0,8.4,1.0,8.5,1.0,5.5,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75106,,,,,,,,,,,,,,,,,,0
75107005,TOUR EIFFEL,48.858333,2.2945,330.0,2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,9.0,,,,,,,,,,,,,,,330,,,5.1,1.0,528.0,9.0,9.0,1.0,526.0,9.0,6.9,1.0,7.1,1.0,3.9,1.0,,,,,0.0,9.0,9.4,1.0,14.2,1.0,210.0,9.0,2218.0,9.0,26.2,1.0,200.0,9.0,2213.0,9.0,24.8,9.0,,2213.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75107,,,,,,,,,,,,,,,,,,0
75110001,LARIBOISIERE,48.882833,2.352,55.0,2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,9.0,,,,,,,,,,,,,,,55,1.0,1.0,7.7,1.0,545.0,9.0,11.4,1.0,530.0,9.0,9.1,1.0,9.6,1.0,3.7,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75110,,,,,,,,,,,,,,,,,,0
75112004,ST-ANTOINE,48.848167,2.380833,,2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75112,,,,,,,,,,,,,,,,,,0
75114001,PARIS-MONTSOURIS,48.821667,2.337833,75.0,2023-01-03,1028.3,1.0,1025.6,1.0,5.0,9.0,226.0,9.0,1.0,9.0,87.0,1.0,1358.0,9.0,97.0,1.0,348.0,9.0,91.0,1.0,0.0,9.0,1440.0,9.0,9.8,9.0,0.6,9.0,0.9,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,,,0.0,9.0,0.0,9.0,75,2.0,1.0,5.4,1.0,316.0,9.0,10.8,1.0,546.0,9.0,8.0,1.0,8.1,1.0,5.4,1.0,1.5,9.0,4.1,9.0,0.0,9.0,3.7,1.0,7.5,1.0,210.0,9.0,2343.0,9.0,16.1,1.0,230.0,9.0,2352.0,9.0,14.7,1.0,,2352.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75.0,2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,9.0,,,,,,,,,,,,,,,75,,,5.3,1.0,317.0,9.0,10.6,1.0,424.0,9.0,7.9,1.0,8.0,1.0,5.3,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
