Geo Point;Geo Shape;insee;emp2006;emp2007;emp2008;emp2009;emp2010;emp2011;emp2012;emp2013;emp2014;emp2015;objectid_1;objectid;emp1999;emp1990;emp1982;emp1975;emp2016;emp2017
48.7134045467, 3.03853468508;"{""coordinates"": [[3.038534685077505, 48.71340454670173]], ""type"": ""MultiPoint""}";77365;50.803903;45.602043;46.108885;52.399274;65.004934;65.08;67.69;70.43728731;65.204831;60.86223437;367;367;48;40;32;35;59.55927758;62.5988625
48.2338715666, 2.7560482864;"{""coordinates"": [[2.756048286400868, 48.2338715665855]], ""type"": ""MultiPoint""}";77370;201.639947;219.51018;227.474477;242.937196;258.869598;238.92;249.32;239.72868324;203.48547;178.06264214;372;372;141;163;200;175;174.44759062;151.02667991
48.9245346989, 2.95367840186;"{""coordinates"": [[2.953678401858236, 48.92453469886884]], ""type"": ""MultiPoint""}";77408;26.846059;25.585767;25.741485;23.147666;18.933532;16.9;16.83;11.12240704;11.156838;16.12257258;408;408;38;22;44;25;17.17066345;17.19187822
48.4736202623, 2.510077207;"{""coordinates"": [[2.510077207003754, 48.47362026226916]], ""type"": ""MultiPoint""}";77412;28.657841;27.562054;27.000414;31.135987;37.73593;34.4;35.02;34.98393433;35.256286;51.46186393;412;412;29;36;40;35;53.10172493;50.75048454
48.93869674, 3.02745091298;"{""coordinates"": [[3.027450912977433, 48.938696739976734]], ""type"": ""MultiPoint""}";77415;223.671626;218.99106;207.329663;201.490756;169.760381;158.15;160.55;204.16030398;229.445089;270.13391438;415;415;246;250;168;170;268.44730893;279.19994042
48.5366700418, 3.21865314982;"{""coordinates"": [[3.218653149817876, 48.5366700418006]], ""type"": ""MultiPoint""}";77418;76.886835;76.042565;76.056262;79.603935;72.950581;70.03;87.05;80.6850583;87.491469;93.3908031;418;418;107;113;92;275;106.88173342;102.05058026
48.4339900547, 2.57544294415;"{""coordinates"": [[2.575442944148218, 48.433990054727744]], ""type"": ""MultiPoint""}";77425;80.773075;82.340984;91.675525;88.849769;91.047237;88.12;87.2;97.54812483;100.192262;98.03249458;424;424;79;106;80;75;97.66074072;97.10695142
48.7631858226, 3.0777719218;"{""coordinates"": [[3.059432920948459, 48.76436122174934], [3.096110922651788, 48.762010423538555]], ""type"": ""MultiPoint""}";77433;184.899336;205.499506;213.082953;215.7448;218.937593;222.68;201.89;206.80846876;217.701277;220.49220796;432;432;173;271;276;205;217.6395249;215.17841438
48.511737364, 3.20485312642;"{""coordinates"": [[3.204853126415308, 48.51173736398865]], ""type"": ""MultiPoint""}";77446;55.434616;55.053774;57.677943;59.437409;59.472315;62.15;69.22;66.69217414;64.881219;66.79010703;445;445;34;60;44;50;55.85867805;47.38384799
48.8698122192, 2.63548399406;"{""coordinates"": [[2.635483994061825, 48.869812219191125]], ""type"": ""MultiPoint""}";77479;2063.027817;2048.886863;2109.321859;2127.869555;2119.637754;2151.63;2197.18;2180.29593459;2122.888691;2102.14109247;478;478;2320;2472;2752;2900;2030.25980868;2066.6854924
48.446602472, 2.89264158776;"{""coordinates"": [[2.892641587763852, 48.44660247195681]], ""type"": ""MultiPoint""}";77480;75.018106;78.18902;81.296766;84.125723;92.716309;98.37;89.84;87.92534709;81.206018;110.94129309;479;479;147;164;224;130;107.44349841;107.84923757
48.6975460118, 3.08231009168;"{""coordinates"": [[3.082310091683132, 48.69754601175604]], ""type"": ""MultiPoint""}";77486;104.99634;107.655261;113.38244;98.579178;104.290239;104.51;99.57;99.74463527;111.495301;108.67482056;485;485;94;129;176;190;119.61707137;118.61252951
48.8789303847, 3.36529489933;"{""coordinates"": [[3.365294899327009, 48.8789303846543]], ""type"": ""MultiPoint""}";77492;174.934056;183.730648;177.717357;177.119894;186.984843;194.63;207.59;217.28169664;229.635655;227.12576223;489;489;127;149;80;125;235.56324436;238.93333139
48.9318632317, 2.81558263649;"{""coordinates"": [[2.815582636485174, 48.93186323168815]], ""type"": ""MultiPoint""}";77498;39.192726;33.500216;31.263556;24.688982;20.790734;19.92;21.17;21.6725903;21.885854;22.69940661;494;494;46;49;64;40;21.06002076;21.00684617
48.7736559886, 1.85178491669;"{""coordinates"": [[1.851784916691507, 48.773655988632584]], ""type"": ""MultiPoint""}";78050;60.739794;72.678344;75.516765;71.883756;85.305696;82.56;76.74;74.24407207;75.07422;86.04754461;546;546;52;63;44;90;88.96426642;92.31056298
48.8634888046, 2.13741123562;"{""coordinates"": [[2.137411235616731, 48.86348880458238]], ""type"": ""MultiPoint""}";78092;1669.801874;1669.901585;1651.073355;1575.533803;1466.153286;1417.33;1369.4;1414.25729885;1347.870285;1476.76722929;562;562;1528;1680;1676;1785;1466.59167458;1458.96902803
