Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC257666;75014;2022-01-05;2022-04-01;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1663.23;Travaux sur réseau de transport public;EMPRISE_PISTE_CYCLABLE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;532634;172142;"{""coordinates"": [[[2.3411981827145794, 48.81965469347811], [2.3412113530626626, 48.819703946942106], [2.341973862631579, 48.81960978286542], [2.3422887361669495, 48.819576906129335], [2.343153456851174, 48.81947054617431], [2.343755708810293, 48.819397348881274], [2.344175688256844, 48.81934136416017], [2.344267557337493, 48.81927447192056], [2.344315041786151, 48.8192273717608], [2.34437394925774, 48.81914936939125], [2.3443155592642704, 48.81896689645883], [2.3442795197553, 48.81898127061645], [2.3442976357496685, 48.81907608929124], [2.344183175307691, 48.81918475357233], [2.3441301509703223, 48.819233644543544], [2.3441078111615044, 48.8192553796847], [2.344088433941832, 48.81926073803757], [2.3440603251382677, 48.81930247975352], [2.343947006911428, 48.81931292226429], [2.3418612123758704, 48.81957455376674], [2.3417866492448702, 48.81958143013424], [2.3411981827145794, 48.81965469347811]]], ""type"": ""Polygon""}";48.8194333559353, 2.34302454211019
EC299398;75006;2022-10-16;2023-03-30;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;45.15;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;713763;197945;"{""coordinates"": [[[2.336346182851063, 48.85313497578165], [2.336336207966921, 48.85311755300217], [2.3360631649571246, 48.85318484972928], [2.3360759984435178, 48.85320060569849], [2.3362581069356367, 48.853157508940114], [2.336262242722697, 48.8531638561497], [2.336263354220314, 48.853166897639994], [2.3362594982450173, 48.85316864798048], [2.336260645184951, 48.85316890706164], [2.336264777754334, 48.85317550697209], [2.3362763069742467, 48.85317329465716], [2.336271809456295, 48.85316517371136], [2.3362660374700366, 48.85316691252438], [2.336259646475459, 48.853157011143125], [2.336346182851063, 48.85313497578165]]], ""type"": ""Polygon""}";48.85315957145279, 2.3362083274671868
EC300986;75016;2022-10-06;2022-10-21;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;582.29;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;720175;198984;"{""coordinates"": [[[2.2741451352444413, 48.85804986770853], [2.2741865680120803, 48.85802329028139], [2.2730586090433293, 48.85730910095238], [2.2729933141778593, 48.857372456194966], [2.273011517683951, 48.85738673438077], [2.2733116449738024, 48.857529216104595], [2.2733553672480338, 48.85749787096848], [2.2734055395294375, 48.85752903980069], [2.27334013086729, 48.857575938071925], [2.2735920810113828, 48.857733823885425], [2.2736578735173008, 48.85768969783606], [2.2737331303507142, 48.8577367035843], [2.2736927482323495, 48.85776495734614], [2.2741451352444413, 48.85804986770853]]], ""type"": ""Polygon""}";48.8576461186302, 2.2735310083643716
EC301399;75020;2022-09-28;2022-09-29;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;542.65;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;722160;199294;"{""coordinates"": [[[2.410737431332683, 48.847052679849426], [2.4109362426576424, 48.84704364099426], [2.411041769395192, 48.84710791210656], [2.411202892553712, 48.847136937678364], [2.411324751345095, 48.84709928692895], [2.411379512163869, 48.84701576808348], [2.4112726138061604, 48.84695058036936], [2.41111829875598, 48.84692978420528], [2.410983795063345, 48.846987409196444], [2.410737431332683, 48.847052679849426]]], ""type"": ""Polygon""}";48.84703291960812, 2.4111409248153723
EC197076;75008;2021-01-04;2022-10-06;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;42.17;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;304416;134333;"{""coordinates"": [[[2.3212656557324802, 48.87460909401482], [2.321259001152583, 48.87458993182818], [2.3209885975138547, 48.87462710407554], [2.3209945845424436, 48.874644441328044], [2.3212656557324802, 48.87460909401482]]], ""type"": ""Polygon""}";48.87461734009159, 2.321129221514399
EC197365;75007;2021-02-01;2023-10-30;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;55.87;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;305125;134522;"{""coordinates"": [[[2.3146641189814257, 48.859911028063394], [2.314374284375989, 48.85990936785653], [2.314376720713811, 48.85993397190056], [2.314665200134558, 48.85993380315174], [2.3146641189814257, 48.859911028063394]]], ""type"": ""Polygon""}";48.859922029626794, 2.3145182232659853
EC210529;75008;2021-03-08;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;204.34;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;347153;142825;"{""coordinates"": [[[2.302262292061958, 48.87434410154151], [2.30164260759263, 48.87427537105133], [2.301635161878489, 48.87431585464755], [2.302252800365942, 48.87438275207845], [2.302262292061958, 48.87434410154151]]], ""type"": ""Polygon""}";48.874329282623954, 2.3019461700212958
EC213683;75008;2021-03-01;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;0.95;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;357595;144555;"{""coordinates"": [[[2.3148639810044402, 48.87541367760847], [2.3148645644086625, 48.87542187662812], [2.314877673612566, 48.87542240762234], [2.314879162474184, 48.875414219563716], [2.3148639810044402, 48.87541367760847]]], ""type"": ""Polygon""}";48.875417945875704, 2.314871360601595
EC213684;75008;2021-03-01;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;0.83;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;357595;144555;"{""coordinates"": [[[2.315707997906805, 48.87543444251679], [2.3157004699854324, 48.875429390163625], [2.315690716987816, 48.87543616489311], [2.3156996245964176, 48.8754412251338], [2.315707997906805, 48.87543444251679]]], ""type"": ""Polygon""}";48.87543532942662, 2.3156995856517484
EC217800;75008;2021-04-01;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;680.3;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;374170;147132;"{""coordinates"": [[[2.315704418276371, 48.87512887505874], [2.314538979800379, 48.87508759970395], [2.3145352842619036, 48.87515861469034], [2.3156986414709286, 48.87520078920279], [2.315704418276371, 48.87512887505874]]], ""type"": ""Polygon""}";48.87514400661301, 2.3151206506250657
EC217805;75008;2021-04-01;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;50.85;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;374170;147132;"{""coordinates"": [[[2.3162303725223827, 48.875082701016176], [2.3161494707019865, 48.87509271258056], [2.316172656995113, 48.87516706842993], [2.3162535635250623, 48.87515660271036], [2.3162303725223827, 48.875082701016176]]], ""type"": ""Polygon""}";48.875124786986184, 2.3162014796280057
EC219150;75008;2021-04-01;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;365.71;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;374170;147132;"{""coordinates"": [[[2.3184934927089427, 48.87522629602648], [2.318488272559788, 48.87530868625105], [2.319034790067983, 48.87532636752244], [2.319039307602889, 48.875244884314014], [2.3184934927089427, 48.87522629602648]]], ""type"": ""Polygon""}";48.875276549497265, 2.3187634494872422
EC220164;75008;2021-04-15;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;215.19;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;384304;148718;"{""coordinates"": [[[2.3254829213789616, 48.874499967293325], [2.3254158743993774, 48.874453142203045], [2.3251309430768963, 48.87465280556599], [2.325200792060808, 48.8746964584459], [2.3254829213789616, 48.874499967293325]]], ""type"": ""Polygon""}";48.87457532877843, 2.325307866799957
EC224931;75008;2021-06-07;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;0.93;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;403677;151752;"{""coordinates"": [[[2.298905657187374, 48.87523475771591], [2.2988989984836876, 48.87524223271287], [2.2989096365271715, 48.87524684838229], [2.2989169833582306, 48.87523960584761], [2.298905657187374, 48.87523475771591]]], ""type"": ""Polygon""}";48.87524082758692, 2.2989078588060283
EC271772;75008;2022-04-28;2022-05-06;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;81.2;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;593632;180521;"{""coordinates"": [[[2.3228545460941317, 48.878199272172466], [2.322796935393176, 48.87822308088228], [2.322902945172929, 48.87835300238464], [2.3229598660867907, 48.87832918972497], [2.3228545460941317, 48.878199272172466]]], ""type"": ""Polygon""}";48.87827604260885, 2.322878486314031
EC271940;75013;2022-03-09;2022-05-09;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;27.44;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;594245;180618;"{""coordinates"": [[[2.352464261714487, 48.83558151401197], [2.352491752983482, 48.835589758049615], [2.3525588887198006, 48.835491457184716], [2.3525306507424086, 48.835481690986065], [2.352464261714487, 48.83558151401197]]], ""type"": ""Polygon""}";48.8355356658721, 2.3525116545040965
EC259705;75018;2022-02-16;2022-03-29;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;26.26;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;541300;173403;"{""coordinates"": [[[2.3286748394278556, 48.89630212010279], [2.328643735891825, 48.89621492293832], [2.3286307179134087, 48.89621282558715], [2.3286168603036526, 48.89621628942575], [2.328610649738159, 48.89622182050614], [2.3286409932535923, 48.89630850710049], [2.3286748394278556, 48.89630212010279]]], ""type"": ""Polygon""}";48.89626044828398, 2.328642065118432
EC238753;75008;2021-09-01;2022-02-24;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;11.42;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;450581;160653;"{""coordinates"": [[[2.325976042978986, 48.87542474972127], [2.3260323244095638, 48.87543240251039], [2.3260391204620534, 48.875407901426286], [2.32598263920046, 48.87540125837124], [2.325976042978986, 48.87542474972127]]], ""type"": ""Polygon""}";48.87541660562968, 2.3260077267205235
