Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC149360;75004;2019-12-16;2019-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;9.13;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;130520;103482;"{""coordinates"": [[[2.3584960379852222, 48.85433125292626], [2.358524627153532, 48.854321160772805], [2.358498239768145, 48.85429255840041], [2.358467939336901, 48.85430150369209], [2.3584960379852222, 48.85433125292626]]], ""type"": ""Polygon""}";48.85431161383518, 2.358496563308432
EC143169;75015;2019-11-25;2019-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;224.69;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;124986;98918;"{""coordinates"": [[[2.298130063341984, 48.84908211778887], [2.2981032719273107, 48.84907330785116], [2.2980631915411305, 48.84902662513106], [2.2980238068605217, 48.84897949050022], [2.298019986138142, 48.84895578876465], [2.2980348491506137, 48.84892809825502], [2.2978458181049217, 48.849028536961946], [2.2978365472569955, 48.84905079573893], [2.2978931078031106, 48.84910349575073], [2.297961306980031, 48.849111637659206], [2.2980047675653656, 48.849112347745105], [2.298130063341984, 48.84908211778887]]], ""type"": ""Polygon""}";48.84904331680768, 2.2979730027487317
EC146035;75017;2019-11-28;2019-12-06;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;383.32;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;127442;100873;"{""coordinates"": [[[2.294098752608522, 48.87490785920361], [2.2940114530549858, 48.87488239931862], [2.2936613733853792, 48.87529642184102], [2.2937546183437187, 48.87532547753923], [2.294098752608522, 48.87490785920361]]], ""type"": ""Polygon""}";48.875105790329215, 2.2938792856422676
EC101353;75001;2019-03-08;2019-06-28;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;103.44;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;87566;67973;"{""coordinates"": [[[[2.342282086238916, 48.858686588879806], [2.3422816104232793, 48.85868735520918], [2.342282064691913, 48.85868829572845], [2.342282086238916, 48.858686588879806]]], [[[2.3422816104232793, 48.85868735520918], [2.342266092643995, 48.85865519458571], [2.342256711975541, 48.8586466045925], [2.342032790996393, 48.858685787720965], [2.3420682719221007, 48.85874517984405], [2.3422803248975037, 48.8586894247437], [2.3422816104232793, 48.85868735520918]]]], ""type"": ""MultiPolygon""}";48.85869275120488, 2.3421547092435926
EC6520;75012;2016-01-01;2022-01-25;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1760.89;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;4037;3079;"{""coordinates"": [[[2.396792756027481, 48.84758871605577], [2.3967746698360664, 48.8475608653926], [2.3965348933555917, 48.84783721314832], [2.3968448096377397, 48.84808684210263], [2.397326519497697, 48.84802509889147], [2.3969705512440895, 48.84766941115203], [2.396811094637595, 48.8475922881168], [2.396792756027481, 48.84758871605577]]], ""type"": ""Polygon""}";48.847861582585196, 2.3968969115602876
EC6551;75014;2016-04-06;2019-10-23;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1143.73;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;4045;3087;"{""coordinates"": [[[2.3386114677970795, 48.83226899254615], [2.3373501717602156, 48.83261490132295], [2.3374027724896242, 48.83271494746882], [2.3386707562578724, 48.83235952110709], [2.3386114677970795, 48.83226899254615]]], ""type"": ""Polygon""}";48.8324916779746, 2.338001542227439
EC90885;75017;2019-01-07;2019-01-25;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;77.39;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;79598;61469;"{""coordinates"": [[[2.2841998043328813, 48.87737836190485], [2.284172026723783, 48.8773902172991], [2.2841512684141545, 48.87741377191834], [2.28414933153397, 48.87743416098589], [2.2841523541425333, 48.87745530817589], [2.2841544276388848, 48.87746515576705], [2.284268756986831, 48.87754525476922], [2.284283480482523, 48.877548986026746], [2.284304018548307, 48.87754145812302], [2.2843118603789905, 48.877533490979076], [2.284313217550276, 48.87752511993429], [2.284197340552307, 48.877437089425136], [2.2841886497100026, 48.87742647290095], [2.284189342059199, 48.877416276716026], [2.284195582463336, 48.87740429253984], [2.2842023586507096, 48.877393404266186], [2.2842035544586134, 48.87738685432146], [2.2841998043328813, 48.87737836190485]]], ""type"": ""Polygon""}";48.87747418364885, 2.2842186694380646
EC117367;75015;2019-07-23;2019-09-05;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;33.22;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;101602;79949;"{""coordinates"": [[[2.2963273579817347, 48.837464132441404], [2.2963638788007406, 48.83744157877711], [2.2962749990053104, 48.83738242584164], [2.29624190318684, 48.837406707538726], [2.2963273579817347, 48.837464132441404]]], ""type"": ""Polygon""}";48.837423702346605, 2.2963022222397864
EC118632;75015;2019-06-05;2019-06-15;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;192.44;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;102590;80763;"{""coordinates"": [[[2.298136236072487, 48.84908488626347], [2.2981121930832207, 48.84907700350505], [2.2980726917904124, 48.84903852007659], [2.298023148041595, 48.8489772094486], [2.298029132849534, 48.84894263708922], [2.297906838334846, 48.84900612679484], [2.2978958119195383, 48.84900515103447], [2.2978764325266807, 48.849009590781236], [2.2978680427361042, 48.849017738336244], [2.2978713150008163, 48.84903096377987], [2.2978567095527405, 48.84903952993453], [2.2978510300016395, 48.849051336711376], [2.2978612258311677, 48.84906278067837], [2.2978917496059577, 48.849050664620954], [2.2979463187580658, 48.8490974324176], [2.297919916251447, 48.84911093880434], [2.297961313122451, 48.84911118171848], [2.297968144665549, 48.8491162312533], [2.2979777553130796, 48.84911993096281], [2.2980026731898513, 48.84911415666562], [2.298136236072487, 48.84908488626347]]], ""type"": ""Polygon""}";48.84904464317502, 2.2979876436502797
EC121160;75007;2019-07-08;2019-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;154.32;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;105036;82836;"{""coordinates"": [[[2.3052468464984313, 48.85401699670713], [2.3054215453968587, 48.85414096122936], [2.305507351476377, 48.85408833512732], [2.3053233945442653, 48.85396887132409], [2.3052468464984313, 48.85401699670713]]], ""type"": ""Polygon""}";48.85405480576134, 2.305376348605984
EC121162;75007;2019-07-08;2019-09-27;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;253.53;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;105036;82836;"{""coordinates"": [[[2.2988410601332485, 48.857512340014736], [2.29895733614003, 48.85745903744647], [2.298460171497332, 48.857383615040135], [2.298430093391663, 48.857396594476], [2.29841215014571, 48.85741925826523], [2.2984295279101303, 48.85743859017425], [2.2988410601332485, 48.857512340014736]]], ""type"": ""Polygon""}";48.85744761849427, 2.2986721708867144
EC111170;75016;2019-06-03;2019-06-21;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;32.6;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;96010;74990;"{""coordinates"": [[[2.293604364043989, 48.87165813705116], [2.2936931252337276, 48.87162837900868], [2.2936545482275443, 48.8715716869106], [2.293613634982076, 48.871585334051204], [2.293650275332836, 48.87163222446741], [2.293609032582595, 48.87164473109118], [2.293574498325884, 48.871595348417394], [2.2935620306860462, 48.87159846211335], [2.293604364043989, 48.87165813705116]]], ""type"": ""Polygon""}";48.871614532988765, 2.293637780882535
EC112566;75020;2019-06-10;2019-08-16;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;158.22;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;97208;75960;"{""coordinates"": [[[2.3993922559117102, 48.86574454120018], [2.3992391522218184, 48.86555434308963], [2.3992369170892376, 48.86550879560386], [2.399108041027868, 48.865372450848255], [2.399063639453038, 48.865392264305676], [2.3991933154564835, 48.8655190495443], [2.3992023376636307, 48.86557464884559], [2.3993534586331333, 48.865757096434656], [2.3993922559117102, 48.86574454120018]]], ""type"": ""Polygon""}";48.86555969895064, 2.3992286079193765
EC101350;75020;2019-03-04;2019-04-19;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;116.07;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;87564;67972;"{""coordinates"": [[[2.404364016397193, 48.871522855511074], [2.4042767429749947, 48.871428161953226], [2.404273645388466, 48.871397181551714], [2.4040753168979374, 48.87117489056359], [2.404050296064205, 48.87118979297539], [2.4042498544297275, 48.87142529595077], [2.404257976004522, 48.87143945232611], [2.40424544211656, 48.87144895256692], [2.4042624167381828, 48.87147362575356], [2.404277005750544, 48.87146550272768], [2.40433147651338, 48.87153134517995], [2.404364016397193, 48.871522855511074]]], ""type"": ""Polygon""}";48.871353578111695, 2.4042065341253287
EC101855;75018;2019-07-01;2019-07-04;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;204.21;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;87966;68316;"{""coordinates"": [[[2.345342956763186, 48.896965887115485], [2.345252296268156, 48.89698087326409], [2.345007537243091, 48.89727733348775], [2.3450470468064575, 48.897320808593115], [2.345342956763186, 48.896965887115485]]], ""type"": ""Polygon""}";48.89713551371226, 2.3451642101620855
EC102146;75013;2019-06-03;2020-01-28;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;114.31;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;88216;68516;"{""coordinates"": [[[2.362543290532537, 48.840281945605], [2.3624549472672607, 48.840313350936796], [2.3625500197926796, 48.84043680865935], [2.362640032351439, 48.84040996563039], [2.362543290532537, 48.840281945605]]], ""type"": ""Polygon""}";48.84036026846782, 2.3625471842430796
EC96849;75001;2019-03-04;2021-10-05;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;263.72;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;84215;65204;"{""coordinates"": [[[2.3476517044456724, 48.857889149127054], [2.3477145297278796, 48.85799741366002], [2.3477450001687816, 48.85798892799675], [2.3478144923354303, 48.85811589841862], [2.3479148585273477, 48.85809185534246], [2.347781212707036, 48.857852514930464], [2.3477396732213727, 48.857863217425304], [2.34770666969607, 48.85785347473293], [2.347642265377823, 48.85787133909384], [2.3476517044456724, 48.857889149127054]]], ""type"": ""Polygon""}";48.85797383282873, 2.347781271063072
EC93882;75017;2019-01-28;2019-03-15;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;23.41;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;81987;63415;"{""coordinates"": [[[2.284926457807161, 48.87722976272301], [2.2849421376535757, 48.87724824790646], [2.2850641466186494, 48.877209570204464], [2.285050467360184, 48.87719065900555], [2.284926457807161, 48.87722976272301]]], ""type"": ""Polygon""}";48.87721956493667, 2.2849956930634376
EC105728;75014;2019-04-10;2019-04-23;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;11.82;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;91332;71078;"{""coordinates"": [[[2.316002944243872, 48.83276276059383], [2.3159931321899765, 48.832774543837466], [2.3159742842529125, 48.83276532898642], [2.3159590358272477, 48.832777479558764], [2.3160135760929332, 48.832806651480425], [2.3160292974222694, 48.832791371986104], [2.3160095871927315, 48.83278215220974], [2.316020922436127, 48.83277253977023], [2.316002944243872, 48.83276276059383]]], ""type"": ""Polygon""}";48.8327832131389, 2.3159969783240193
EC105994;75020;2019-04-15;2020-08-28;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;920.51;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;AUTRE,DEUX_ROUES;91548;71243;"{""coordinates"": [[[2.4085097298273914, 48.865363457076505], [2.4085886123568305, 48.86536073068826], [2.4086198370300247, 48.86531231257781], [2.408674306668209, 48.86531055819854], [2.408650310717142, 48.86503391532693], [2.4086209447525366, 48.8648714250844], [2.4085789060744167, 48.86487437763228], [2.408572250664669, 48.864836124616495], [2.4084448866742436, 48.86484156660027], [2.408397124723208, 48.86486055659555], [2.4084054846649146, 48.86486717568809], [2.4084203245216065, 48.86488547865154], [2.408444067278919, 48.86490856423696], [2.4084635247697435, 48.86509871868658], [2.4083905498204867, 48.865101865405855], [2.408323790214368, 48.86517287546861], [2.4083924360439957, 48.865227453059205], [2.4084696242641046, 48.865300692744285], [2.4085097298273914, 48.865363457076505]]], ""type"": ""Polygon""}";48.865107569883044, 2.4085319074215366
EC137382;75008;2019-08-26;2019-09-13;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;23.92;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;120101;95054;"{""coordinates"": [[[2.314307619316277, 48.875864240179865], [2.314282110973614, 48.875841125841085], [2.3141964149819656, 48.87587547891798], [2.314227317135471, 48.87589941739125], [2.314307619316277, 48.875864240179865]]], ""type"": ""Polygon""}";48.87587024906917, 2.314252679083913
EC137937;75007;2019-09-30;2019-11-05;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;19.74;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;120626;95466;"{""coordinates"": [[[2.3015337308552932, 48.859409399367415], [2.3015468911285373, 48.859425129432125], [2.3016656700261695, 48.85938085494582], [2.3016507728520432, 48.859365968244425], [2.3015337308552932, 48.859409399367415]]], ""type"": ""Polygon""}";48.85939539339047, 2.3015991902862507
EC138941;75013;2019-10-30;2019-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;108.88;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;121455;96122;"{""coordinates"": [[[2.358178799592646, 48.83154273059388], [2.3581875524563305, 48.83156008235801], [2.3584156349829857, 48.83163462099279], [2.3584177097466483, 48.83163417704091], [2.358589488285255, 48.83168792202956], [2.3585692392575743, 48.83165183860774], [2.3584050749020786, 48.83159585722672], [2.35820173276935, 48.83152873713413], [2.358178799592646, 48.83154273059388]]], ""type"": ""Polygon""}";48.83160428513849, 2.3583769397922167
EC139591;75016;2019-10-07;2020-04-30;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;207.34;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;121920;96504;"{""coordinates"": [[[2.286533306738981, 48.85664191027247], [2.286581001006715, 48.85663627506285], [2.286630064385543, 48.856581012450384], [2.2866043696916454, 48.856592698410296], [2.286572540737991, 48.85659888419453], [2.2864781113394392, 48.85659057949312], [2.286243867631628, 48.85641113305754], [2.2861318027272244, 48.85638040981745], [2.2863611425700348, 48.85656529173191], [2.2864662479484323, 48.856650618217806], [2.286498362608461, 48.856674032922434], [2.2865121501671872, 48.856675026181506], [2.2865261199132827, 48.85666281435889], [2.286533306738981, 48.85664191027247]]], ""type"": ""Polygon""}";48.85654465841523, 2.286389177092198
EC140488;75014;2019-10-21;2019-10-23;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1023.09;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;122566;97008;"{""coordinates"": [[[2.3358093493481786, 48.83315672348694], [2.335484145082888, 48.83323574635167], [2.3355802691427647, 48.83340590903143], [2.3358599168540253, 48.833383554177075], [2.3361505773183175, 48.83330889209287], [2.336035714589103, 48.83312041176942], [2.33594796206067, 48.83310512453708], [2.3358093493481786, 48.83315672348694]]], ""type"": ""Polygon""}";48.83326662053656, 2.335822529216456
EC132191;75007;2019-08-06;2019-10-02;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;14.51;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;114792;91296;"{""coordinates"": [[[2.3102463443571555, 48.86216817377101], [2.3102228384643353, 48.86217122648921], [2.3102281090994525, 48.86224229387925], [2.3102536612701448, 48.86224107503809], [2.3102463443571555, 48.86216817377101]]], ""type"": ""Polygon""}";48.86220614508766, 2.3102378350213364
EC127122;75012;2019-07-09;2019-08-12;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;19.6;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;110452;87551;"{""coordinates"": [[[2.367435588827567, 48.8455064393015], [2.367556657595295, 48.845536223102926], [2.367574098175322, 48.84552037776448], [2.3674523344603418, 48.84549104538125], [2.367435588827567, 48.8455064393015]]], ""type"": ""Polygon""}";48.845513596965475, 2.3675049890662407
EC131701;75008;2019-09-02;2023-07-14;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;605.35;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;AUTOLIB;114339;90901;"{""coordinates"": [[[2.3149032977121746, 48.87562609995688], [2.3148584699919303, 48.875570289406554], [2.314756497793059, 48.87555513463088], [2.3142619531404622, 48.87578453636477], [2.3142739815591655, 48.87581465938604], [2.314299518149075, 48.8758676274526], [2.3144481402836923, 48.87580017477483], [2.31448899510535, 48.87584321278656], [2.3146890698511937, 48.875747821489014], [2.3147036312140656, 48.87569052970497], [2.3149032977121746, 48.87562609995688]]], ""type"": ""Polygon""}";48.87570910006202, 2.314576823962739
EC194434;75019;2019-04-15;2019-08-09;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;644.45;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;291285;132573;"{""coordinates"": [[[2.3752497330298596, 48.873603875448765], [2.3764836715335744, 48.872479197776926], [2.3764396913857015, 48.87246257557941], [2.3751975563823273, 48.873579924520506], [2.3752497330298596, 48.873603875448765]]], ""type"": ""Polygon""}";48.873052988456834, 2.3758188274579046
EC97917;75014;2019-05-06;2019-05-17;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;37.93;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;85006;65850;"{""coordinates"": [[[2.328740855131825, 48.83023403508835], [2.3288465022829454, 48.83019819792859], [2.3287818757867402, 48.83012839002623], [2.3287558368627677, 48.83014190538775], [2.3287897053251334, 48.83018990982653], [2.3287315917354894, 48.83021690666942], [2.328740855131825, 48.83023403508835]]], ""type"": ""Polygon""}";48.830185303632476, 2.328789225601398
EC33088;75018;2017-11-20;2019-06-07;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;2416.16;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;27836;21666;"{""coordinates"": [[[2.3564267009227455, 48.88429248338782], [2.358512844285317, 48.88443846378317], [2.358539337184241, 48.8843056418824], [2.3563953841518135, 48.88414478024008], [2.3564267009227455, 48.88429248338782]]], ""type"": ""Polygon""}";48.88429404843567, 2.3574551140135616
EC94592;75014;2019-02-25;2019-03-15;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;417.14;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;82613;63892;"{""coordinates"": [[[2.3348383423338235, 48.82757271482092], [2.3350027926143246, 48.82760322873761], [2.3351141320023885, 48.82730967260895], [2.334944042850736, 48.82728869054407], [2.3348383423338235, 48.82757271482092]]], ""type"": ""Polygon""}";48.827443369948575, 2.334975407107218
EC77573;75018;2018-09-10;2019-05-17;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;3169.73;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;67895;52388;"{""coordinates"": [[[2.361575496913774, 48.88445665492562], [2.3624054964132535, 48.88445106020321], [2.362405217657976, 48.884473826994196], [2.363668876548391, 48.88446415676931], [2.3636690434678846, 48.88445049687274], [2.3643167297952803, 48.88444756208862], [2.364439689591472, 48.88444275054948], [2.3644215915618876, 48.88431333389167], [2.3643866834789593, 48.88431656422308], [2.3636623636295733, 48.88431909120804], [2.363661737642121, 48.884313851996026], [2.362394707902564, 48.8843171288426], [2.3623972809386133, 48.88433262447067], [2.361633573381632, 48.88433766157993], [2.361575496913774, 48.88445665492562]]], ""type"": ""Polygon""}";48.884390663198296, 2.3630419369323485
EC88076;75005;2018-12-21;2020-02-15;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;251.16;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;77397;59739;"{""coordinates"": [[[2.3484937589246986, 48.85020803538884], [2.348633568539062, 48.85017373248876], [2.3486535381509186, 48.850177029423115], [2.3487982736067203, 48.850135012383255], [2.34874422112365, 48.8500431888422], [2.348490220546851, 48.85010464675711], [2.348472169165073, 48.8501687553373], [2.3484937589246986, 48.85020803538884]]], ""type"": ""Polygon""}";48.85012601321106, 2.3486285013903174
EC36923;75008;2018-01-24;2019-10-02;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1230.74;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;31314;24389;"{""coordinates"": [[[2.3131015117537523, 48.86714511896895], [2.313079653444089, 48.86712769009481], [2.3127680158903767, 48.867206044557705], [2.3127719768117365, 48.86721972837199], [2.31258134185415, 48.8672295624749], [2.312578797866272, 48.867213154578046], [2.312418796096612, 48.867203128720845], [2.3123551885008595, 48.86731569331176], [2.3124137866697763, 48.867373405558865], [2.312616725446411, 48.86737275006365], [2.3129289523242744, 48.86735450718885], [2.3133909429355914, 48.86728521068043], [2.313358317987901, 48.867246772521824], [2.3131015117537523, 48.86714511896895]]], ""type"": ""Polygon""}";48.86727001254863, 2.3128477894382455
EC41051;75017;2018-01-22;2022-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;1.0;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;35005;27225;"{""coordinates"": [[[2.2810239037801443, 48.878447598816116], [2.281010094845175, 48.87844774341485], [2.2810106621428283, 48.87845662690926], [2.2810244724559885, 48.87845648141941], [2.2810239037801443, 48.878447598816116]]], ""type"": ""Polygon""}";48.87845211271799, 2.281017283197457
EC22202;75017;2017-10-02;2021-11-30;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;285.04;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;17592;13791;"{""coordinates"": [[[2.281245184536338, 48.877296179435305], [2.2812922384820298, 48.87728826534499], [2.2813242503378377, 48.87726978810306], [2.2813792500349606, 48.87723642175507], [2.281442608882947, 48.8771976402592], [2.2815059362126124, 48.87716113657165], [2.281602529243855, 48.87711526888907], [2.281712220184137, 48.877070846717615], [2.281835692608939, 48.87702832828996], [2.281871751847112, 48.877016704779734], [2.2819198908000913, 48.87698010975599], [2.2819711755030654, 48.876965845344834], [2.281953590938437, 48.87693932890715], [2.2818912755882814, 48.876952616108696], [2.2818490286810373, 48.87696238043905], [2.281772793483554, 48.876983780670685], [2.2816728604992744, 48.87702143095437], [2.2815568123093213, 48.877076288669386], [2.2814773951373923, 48.8771281788755], [2.2813699445902405, 48.877210410002704], [2.281245184536338, 48.877296179435305]]], ""type"": ""Polygon""}";48.877079343745635, 2.2816444642465252
EC234962;75004;2018-08-13;2021-10-06;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;195.14;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;434118;158192;"{""coordinates"": [[[2.3485477043698615, 48.8576425727616], [2.349114676520713, 48.85748762321434], [2.3490924398912694, 48.85745074939316], [2.3485254124797903, 48.85760731107333], [2.3485477043698615, 48.8576425727616]]], ""type"": ""Polygon""}";48.85754656797923, 2.348821844120778
EC97922;75001;2019-05-20;2019-05-31;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;35.25;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;85011;65856;"{""coordinates"": [[[2.33313135892308, 48.86330378641965], [2.333173016687923, 48.86335183234851], [2.333283041893752, 48.86331601547242], [2.3332634846019658, 48.8632937079235], [2.3331915623206685, 48.86331835224585], [2.333168606288204, 48.8632920407355], [2.33313135892308, 48.86330378641965]]], ""type"": ""Polygon""}";48.8633195053095, 2.3332022558247125
EC99108;75010;2019-03-18;2021-06-30;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;255.5;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;85915;66588;"{""coordinates"": [[[2.3694229005386425, 48.86954633846606], [2.369986167218852, 48.86972431774615], [2.370008039057671, 48.86970226596309], [2.3699821007598, 48.869663323862675], [2.369496511293602, 48.869514259205715], [2.369433939264756, 48.86952738998865], [2.3694229005386425, 48.86954633846606]]], ""type"": ""Polygon""}";48.86961425053533, 2.369726568716638
EC99716;75003;2019-02-25;2019-04-08;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;236.04;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;86383;66972;"{""coordinates"": [[[2.353504793932513, 48.86130040959459], [2.3534442255807697, 48.86131488203652], [2.353404437751206, 48.861364984646215], [2.3534727293188396, 48.86149285584844], [2.3535655986132644, 48.86154492699083], [2.3535850791845614, 48.861574062238695], [2.3536320921610003, 48.861539594179256], [2.353504793932513, 48.86130040959459]]], ""type"": ""Polygon""}";48.86143135429626, 2.3535137214078783
EC105640;75019;2019-04-08;2019-04-18;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;14.15;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;91247;71008;"{""coordinates"": [[[2.3691913847458146, 48.88631274760384], [2.3691751651307453, 48.8862978628516], [2.3691526164502825, 48.88630685151853], [2.3691013088173345, 48.886267306738446], [2.3690821907757456, 48.88627802038874], [2.3691317789587676, 48.886316986844], [2.3691638294140356, 48.886307479869465], [2.3691757593925074, 48.886320064931], [2.3691913847458146, 48.88631274760384]]], ""type"": ""Polygon""}";48.88629641644688, 2.3691303396261514
EC105418;75014;2019-04-08;2019-06-19;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;3204.34;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;91068;70856;"{""coordinates"": [[[2.3353107542011453, 48.826223319213135], [2.33551175674848, 48.826253580560305], [2.3361602268064026, 48.82450761060361], [2.336183656954112, 48.82445491656732], [2.3362272714450327, 48.82433357166951], [2.33609368981892, 48.82431689223722], [2.3360735792860554, 48.82437962287163], [2.3360036310498784, 48.824565029926454], [2.3359237049527763, 48.824559121484825], [2.3353107542011453, 48.826223319213135]]], ""type"": ""Polygon""}";48.8253180478879, 2.3357554258504263
EC90971;75012;2019-04-02;2019-04-06;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;247.06;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;79680;61534;"{""coordinates"": [[[2.380726402767244, 48.83906632872039], [2.3805844792095843, 48.839181144014134], [2.380888256502877, 48.839306236896256], [2.380938855306451, 48.83925697716765], [2.380739856953703, 48.839167718772494], [2.3807991675739633, 48.83911110424055], [2.380726402767244, 48.83906632872039]]], ""type"": ""Polygon""}";48.83919173613108, 2.380753239858175
EC74262;75012;2018-08-27;2019-07-11;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;56.13;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;65092;50190;"{""coordinates"": [[[2.3825487465064805, 48.84400462724435], [2.3826808049175376, 48.84394105138719], [2.3826577650197382, 48.843920440608954], [2.382613811464492, 48.84391793660856], [2.382534113310311, 48.84395278013992], [2.3825250082069753, 48.843985807057344], [2.3825487465064805, 48.84400462724435]]], ""type"": ""Polygon""}";48.84395596994139, 2.3825947446376676
