Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
162;Métro;BOUCICAUT;3318843;8;;;;;Paris;15
57;Métro;LES SABLONS;6098028;1;;;;;Neuilly Sur Seine;
267;Métro;FILLES DU CALVAIRE;1730620;8;;;;;Paris;3
82;Métro;PONT DE LEVALLOIS-BECON;5133998;3;;;;;Levallois-Perret;
282;Métro;VARENNE;1434206;13;;;;;Paris;7
97;Métro;MAIRIE DES LILAS;4726057;11;;;;;Les Lilas;
266;Métro;LIEGE;1738577;13;;;;;Paris;8
84;Métro;CRETEIL-PREFECTURE;5113576;8;;;;;Créteil;
170;Métro;BERAULT;3149273;1;;;;;Vincennes;
83;Métro;HOCHE;5128138;5;;;;;Pantin;
49;RER;LA VARENNE-CHENNEVIERES;1927735;A;;;;;saint-Maur des Fossés;
38;RER;FONTENAY-SOUS-BOIS;2631770;A;;;;;Fontenay-sous-Bois;
58;RER;LOZERE;846036;B;;;;;Palaiseau;
33;RER;CHAMPIGNY;3467855;A;;;;;Saint-Maur des Fossés;
51;Métro;CONCORDE;6312926;1;8;12;;;Paris;8
28;RER;JOINVILLE-LE-PONT;3859220;A;;;;;Joinville-le-Pont;
58;Métro;VILLIERS;6095197;2;3;;;;Paris;17
34;RER;LA CROIX DE BERNY;3178607;B;;;;;Antony;
86;Métro;PASTEUR;5030023;6;12;;;;Paris;9
21;RER;VAL D'EUROPE;4649606;A;;;;;Serris;
98;Métro;PEREIRE;4691021;3;;;;;Paris;17
26;Métro;CHARLES DE GAULLE-ETOILE;8530182;1;2;6;;;Paris;8
89;Métro;CHARLES MICHELS;4886832;10;;;;;Paris;15
66;Métro;REUILLY-DIDEROT;5845034;1;8;;;;Paris;12
124;Métro;LA MUETTE;4016508;9;;;;;Paris;16
114;Métro;MAIRIE DE SAINT-OUEN;4283641;13;;;;;Saint Ouen;
136;Métro;BOULOGNE-JEAN JAURES;3809380;10;;;;;Boulogne Billancourt;
4;RER;CHATELET-LES HALLES-RER;30156193;A;B;;;;Paris;1
115;Métro;SAINT-DENIS-PORTE DE PARIS;4262669;13;;;;;Saint Denis;
296;Métro;CHARDON-LAGACHE;660183;10;;;;;Paris;16
289;Métro;QUAI DE LA RAPEE;1242700;5;;;;;Paris;12
237;Métro;SAINT-MARCEL;2230692;5;;;;;Paris;13
259;Métro;SAINT-SULPICE;1830503;4;;;;;Paris;6
292;Métro;VANEAU;997620;10;;;;;Paris;7
241;Métro;ABBESSES;2188257;12;;;;;Paris;18
203;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2647208;5;;;;;Pantin;
225;Métro;SEVRES-LECOURBE;2382490;6;;;;;Paris;15
16;RER;MARNE-LA-VALLEE-CHESSY;5851461;A;;;;;Montévrain;
172;Métro;PYRENEES;3134664;11;;;;;Paris;20
11;RER;SAINT-MICHEL-NOTRE-DAME;7051095;B;;;;;Paris;
218;Métro;IENA;2445767;9;;;;;Paris;16
21;Métro;GARE D'AUSTERLITZ;9674901;5;10;;;;Paris;13
23;RER;NANTERRE-UNIVERSITE;4506687;A;;;;;Nanterre;
248;Métro;EXELMANS;2072581;9;;;;;Paris;16
40;RER;ORSAY-VILLE;2512143;B;;;;;Orsay;
232;Métro;CLUNY LA SORBONNE;2306916;10;;;;;Paris;5
20;Métro;PALAIS-ROYAL;10024410;1;7;;;;Paris;1
208;Métro;JACQUES BONSERGENT;2599072;5;;;;;Paris;10
252;Métro;MICHEL BIZOT;1994388;8;;;;;Paris;12
213;Métro;VILLEJUIF-LEO LAGRANGE;2563169;7;;;;;Villejuif;
257;Métro;PORTE D'IVRY;1932132;7;;;;;Paris;13
187;Métro;COMMERCE;2933922;8;;;;;Paris;15
206;Métro;CHATEAU ROUGE;2623832;4;;;;;Paris;18
48;RER;ROBINSON;2072910;B;;;;;Sceaux;
209;Métro;NATIONALE;2589861;6;;;;;Paris;13
67;Métro;PORTE DE VERSAILLES;5827374;12;;;;;Paris;15
219;Métro;LOURMEL;2420654;8;;;;;Paris;15
78;Métro;PORTE DE PANTIN;5226446;5;;;;;Paris;19
215;Métro;LOUVRE;2558502;1;;;;;Paris;1
116;Métro;MAIRIE D'ISSY;4251210;12;;;;;Issy Les Moulineaux;
191;Métro;CORENTIN CARIOU;2866103;7;;;;;Paris;19
131;Métro;PORTE DE LA VILLETTE;3909021;7;;;;;Paris;19
194;Métro;LA FOURCHE;2839680;13;;;;;Paris;8
165;Métro;PERNETY;3240020;13;;;;;Paris;14
26;RER;NATION-RER;4212309;A;;;;;Paris;12
161;Métro;CADET;3322334;7;;;;;Paris;9
46;RER;GENTILLY;2146180;B;;;;;Gentilly;
269;Métro;MONTGALLET;1710400;8;;;;;Paris;12
43;RER;BAGNEUX;2313791;B;;;;;Cachan;
278;Métro;PIERRE CURIE;1547803;7;;;;;Ivry;
69;Métro;ODEON;5771522;4;10;;;;Paris;6
80;Métro;PORTE DE SAINT-CLOUD;5196965;9;;;;;Paris;16
