Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
29;Métro;CHARLES DE GAULLE-ETOILE;8181646;1;2;6;;;Paris;8
70;Métro;GALLIENI;5841623;3;;;;;Bagnolet;
87;Métro;HOCHE;5185130;5;;;;;Pantin;
128;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4113353;1;13;;;;Paris;8
106;Métro;ECOLE MILITAIRE;4638136;8;;;;;Paris;7
247;Métro;RICHARD LENOIR;2172035;5;;;;;Paris;11
289;Métro;SAINT-GEORGES;1258381;12;;;;;Paris;9
285;Métro;CAMPO-FORMIO;1369978;5;;;;;Paris;13
282;Métro;MIRABEAU;1422224;10;;;;;Paris;16
187;Métro;ROME;2992054;2;;;;;Paris;17
2;RER;GARE DE LYON-RER;38223812;A;;;;;Paris;12
135;Métro;BOULOGNE-JEAN JAURES;3963135;10;;;;;Boulogne Billancourt;
144;Métro;GARIBALDI;3692242;13;;;;;Saint Ouen;
301;Métro;PRE-SAINT-GERVAIS;389255;7bis;;;;;Paris;19
275;Métro;MOUTON-DUVERNET;1645671;4;;;;;Paris;14
8;RER;CHARLES DE GAULLE-ETOILE-RER;9186375;A;;;;;Paris;17
22;RER;DENFERT-ROCHEREAU-RER;4733142;B;;;;;Paris;14
302;Métro;PELLEPORT;371005;3bis;;;;;Paris;20
83;Métro;PYRAMIDES;5277037;7;14;;;;Paris;1
131;Métro;RAMBUTEAU;4074086;11;;;;;Paris;3
201;Métro;CORVISART;2819792;6;;;;;Paris;13
194;Métro;ARGENTINE;2932605;1;;;;;Paris;17
50;Métro;PORTE D'ORLEANS;6669356;4;;;;;Paris;14
48;Métro;SAINT-MICHEL;6713126;4;;;;;Paris;5
47;Métro;LA CHAPELLE;6976673;2;;;;;Paris;9
18;Métro;ESPLANADE DE LA DEFENSE;10255121;1;;;;;Puteaux;
75;Métro;GABRIEL PERI;5405121;13;;;;;Asnières;
66;RER;LA HACQUINIERE;460195;B;;;;;Bures sur Yvette;
54;RER;PALAISEAU;1061473;B;;;;;Palaiseau;
5;Métro;GARE DE L'EST;21432041;4;5;7;;;Paris;10
38;Métro;STALINGRAD;7342659;2;5;7;;;Paris;19
15;Métro;OPERA;11175606;3;7;8;;;Paris;9
21;Métro;BARBES-ROCHECHOUART;9337425;2;4;;;;Paris;18
188;Métro;PLACE DES FETES;2987172;7bis;11;;;;Paris;19
184;Métro;COURONNES;3036984;2;;;;;Paris;11
157;Métro;TOLBIAC;3451768;7;;;;;Paris;13
166;Métro;MAIRIE D'IVRY;3351677;7;;;;;Ivry;
249;Métro;NOTRE-DAME-DES-CHAMPS;2146424;12;;;;;Paris;6
215;Métro;WAGRAM;2565333;3;;;;;Paris;17
10;RER;CITE UNIVERSITAIRE;7338836;B;;;;;Paris;14
28;RER;NATION-RER;3808672;A;;;;;Paris;12
59;RER;GIF-SUR-YVETTE;769431;B;;;;;Gif sur Yvette;
26;RER;NANTERRE-VILLE;4083814;A;;;;;Nanterre;
156;Métro;JOURDAIN;3467807;11;;;;;Paris;20
110;Métro;LAUMIERE;4556699;5;;;;;Paris;19
153;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3520624;8;;;;;Maisons -Alfort;
120;Métro;LES COURTILLES;4233814;13;;;;;Asnières sur Seine;
288;Métro;QUAI DE LA RAPEE;1273466;5;;;;;Paris;12
280;Métro;CHEMIN VERT;1524831;8;;;;;Paris;11
6;RER;VAL DE FONTENAY;14052186;A;;;;;Fontenay-sous-Bois;
