Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
54;Métro;SAINT-PAUL;6421101;1;;;;;Paris;4
16;RER;LUXEMBOURG;5670876;B;;;;;Paris;5
223;Métro;TELEGRAPHE;2360717;11;;;;;Paris;20
89;Métro;PLAISANCE;4874104;13;;;;;Paris;14
24;RER;SAINT-GERMAIN-EN-LAYE;4164347;A;;;;;Saint-Germain-en-Laye;
297;Métro;CHARDON-LAGACHE;640997;10;;;;;Paris;16
103;Métro;PORTE DE VANVES;4527498;13;;;;;Paris;14
28;RER;SAINT-MAUR-CRETEIL;3516120;A;;;;;Saint-Maur des Fossés;
50;Métro;INVALIDES;6583254;8;13;;;;Paris;7
104;Métro;BALARD;4454198;8;;;;;Paris;15
62;RER;FONTAINE-MICHALON;670654;B;;;;;Antony;
56;Métro;VILLIERS;6178884;2;3;;;;Paris;17
200;Métro;COURCELLES;2719939;2;;;;;Paris;17
57;Métro;GEORGE V;6127964;1;;;;;Paris;8
79;Métro;VOLTAIRE;5113473;9;;;;;Paris;11
130;Métro;VICTOR HUGO;3804427;2;;;;;Paris;16
133;Métro;BOULOGNE-JEAN JAURES;3757980;10;;;;;Boulogne Billancourt;
217;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2412852;5;;;;;Pantin;
44;Métro;VILLEJUIF-LOUIS ARAGON;6661476;7;;;;;Villejuif;
48;Métro;CRIMEE;6613387;7;;;;;Paris;19
58;Métro;GALLIENI;6075015;3;;;;;Bagnolet;
93;Métro;BONNE NOUVELLE;4799450;8;9;;;;Paris;10
109;Métro;MENILMONTANT;4359246;2;;;;;Paris;11
156;Métro;CADET;3408172;7;;;;;Paris;9
287;Métro;RENNES;1241237;12;;;;;Paris;6
42;RER;SUCY-BONNEUIL;2149877;A;;;;;Sucy-en-Brie;
119;Métro;PORTE DE CLICHY;4039039;13;;;;;Paris;17
125;Métro;OURCQ;3903423;5;;;;;Paris;19
187;Métro;SIMPLON;2957190;4;;;;;Paris;18
191;Métro;PORTE DAUPHINE;2866342;2;;;;;Paris;16
262;Métro;MAISONS-ALFORT-STADE;1807992;8;;;;;Maisons -Alfort;
9;RER;SAINT-MICHEL-NOTRE-DAME;7806419;B;;;;;Paris;
27;RER;JOINVILLE-LE-PONT;3665186;A;;;;;Joinville-le-Pont;
195;Métro;SAINT-AMBROISE;2791395;9;;;;;Paris;11
266;Métro;MONTGALLET;1767323;8;;;;;Paris;12
273;Métro;CARDINAL LEMOINE;1657283;10;;;;;Paris;5
286;Métro;CAMPO-FORMIO;1256651;5;;;;;Paris;13
55;RER;SAINT-REMY-LES-CHEVREUSE;934900;B;;;;;St-Rémy-Lès-Chevreuse;
139;Métro;MALAKOFF-PLATEAU DE VANVES;3693265;13;;;;;Malakoff;
228;Métro;CRETEIL-L'ECHAT;2334535;8;;;;;Créteil;
234;Métro;TRINITE-D'ESTIENNE D'ORVES;2236406;12;;;;;Paris;9
6;Métro;REPUBLIQUE;18530849;3;5;8;9;11;Paris;11
43;Métro;PORTE D'ORLEANS;6736894;4;;;;;Paris;14
