identifiant commerce;point geo;dea_jour_fermeture;dea_numero_rue_livraison;dea_code_postal_livraison;dea_commune_livraison;dea_nom_commerce
510471;48.853806, 2.293985;;62 rue Saint-Lambert;75015;Paris;Le P'ti Bistrot
510580;48.881508, 2.232296;Samedi;33 rue Jean Jaurès;92800;Puteaux;L'Orangerie
510612;48.913623, 2.292275;Dimanche;11 AV. d' Argenteuil;92600;Asnières-sur-Seine;Le Saint Claude
520472;48.880661, 2.377187;Dimanche;103 Av. Simon Bolivar;75019;Paris;Le Navigateur
520537;48.8491, 2.371086;;116 Cour de Vincennes;75012;Paris;Tabac Le Reinit
520642;48.8491, 2.371086;;96 Bd  Diderot;75012;Paris;Le Totem
530157;48.831735, 2.367073;Dimanche;35 Av.de la Porte de Choisy;75013;Paris;Tabac des Sports
530198;48.831735, 2.367073;Dimanche;96 Bd Massena;75013;Paris;La Page Massena
530210;48.768228, 2.31095;Dimanche;135 Av. de la Division Leclerc;92160;Antony;Le Fontenoy
530357;48.856246, 2.323946;;22 Av. de la Bourdonnais;75007;Paris;Tabac Eiffel
530419;48.831735, 2.367073;Mercredi;66 Av. d'Ivry;75013;Paris;Tabac des Olympiades
530451;48.839047, 2.332933;Dimanche;207 rue Raymond Losserand;75014;Paris;Café le Renoir
530472;48.738695, 2.255537;Lundi;120 rue d'Estienne d'Orves;91370;Verrières-le-Buisson;La Concorde
530557;48.816396, 2.384721;Dimanche;125 Bd Paul Vaillant Couturier;94200;Ivry-sur-Seine;Le Mokaffé
530559;48.784344, 2.381742;;33 Av. Eva Salmon;94400;Vitry-sur-Seine;Tabac Le France
540361;48.839047, 2.332933;Dimanche;80 rue de l'Am. Mouchez;75014;Paris;La Royale
540440;48.86797, 2.27538;Dimanche;75 rue d'Auteuil;75016;Paris;Moulin d' Auteuil
540669;48.849498, 2.347052;;3 Bd Saint-Michel;75005;Paris;La Fontaine St Miche
510152;48.77766, 2.268352;Dimanche;15 Av. Charles de Gaulle;92350;Le Plessis-Robinson;Mag Presse
510545;48.869491, 2.223011;;1 rue de la Poterie;92150;Suresnes;Le Valerien
510634;48.86797, 2.27538;;57 Av. Mozart;75016;Paris;La Parisienne
520451;48.860773, 2.385278;;38 Bd  Beaumarchais;75011;Paris;La Petite Etincelle
520584;48.818074, 2.541709;Dimanche;4 rue Louis Talamoni;94500;Champigny-sur-Marne;Tabac de la Mairie
530117;48.819501, 2.322161;Dimanche;79 Av.de la République;92120;Montrouge;Librairie du Centre
530261;48.690001, 2.317861;Dimanche;163 rue du Pdt François Mitterrand;91160;Longjumeau;Tabac des Arcades
530332;48.804137, 2.460826;Lundi;3 rue Paul-François Avet;94000;Créteil;Tabac Le Village
530415;48.771928, 2.380104;Dimanche;0 CCAL  Belle Epine;94320;Thiais;Emy Café
530464;48.819501, 2.322161;Dimanche;63 Av. Aristide Briand;92120;Montrouge;La Divette
530566;48.752575, 2.419658;Dimanche;58 Bd de Stalingrad;94600;Choisy-le-Roi;Le Stalingrad
540134;48.813513, 2.449794;Dimanche;56 Av. Georges Clemenceau;94700;Maisons-Alfort;Tabac du Marché
540234;48.884769, 2.335947;;25 Bd  Ornano;75018;Paris;Le Flash
540260;48.880661, 2.377187;Dimanche;36 Av. Simon Bolivar;75019;Paris;Tabac Presse
540358;48.852773, 2.340696;Dimanche;78 rue de Seine;75006;Paris;Tabac-Presse-Loto
540473;48.877615, 2.312373;Dimanche;5 rue de Vienne;75008;Paris;Le Mont Vallon
510244;48.778134, 2.236447;;251 Av. Jean Jaurès;92140;Clamart;Au Départ
510453;48.91352, 2.267197;Dimanche;11 rue d'Estienne d'Orves;92270;Bois-Colombes;Le Jean Bart
510530;48.853806, 2.293985;;125 rue Cambronne;75015;Paris;Les Favorites
510657;48.869491, 2.223011;;5 rue des Bas Rogers;92150;Suresnes;Le Chiquito
520248;48.852471, 2.404497;Dimanche;136 rue des Couronnes;75020;Paris;Le Voltigeur
520333;48.880661, 2.377187;Dimanche;100 Bd de la Villette;75019;Paris;Le Narval
520341;48.850335, 2.446414;Dimanche;140 rue de la Jarry;94300;Vincennes;Le Royal
520367;48.850335, 2.446414;Dimanche;153 rue Defrance;94300;Vincennes;Tabac des Rigollots
520392;48.893158, 2.412544;Dimanche;54 Av. Jean Lolive;93500;Pantin;Le Saint-Claude
520507;48.880661, 2.377187;;15/17 rue Henri Ribière;75019;Paris;Village des Fêtes
520587;48.8491, 2.371086;;2 rue de Lyon;75012;Paris;Le Murattis
520598;48.854294, 2.438276;;176 Av. du Président Wilson;93100;Montreuil;Le Wilson
520657;48.8491, 2.371086;;113 rue de Charenton;75012;Paris;Dido Café
530264;48.781122, 2.29044;;5 rue du Docteur Roux;92330;Sceaux;Le Patio
530390;48.849498, 2.347052;Dimanche;41-43 rue Linné;75005;Paris;Le Saint Mandé
530407;48.772566, 2.327217;;106 108 rue de Bicêtre;94240;L'Haÿ-les-Roses;Tabac des Roses
530457;48.839047, 2.332933;;134 Av. du Général Leclerc;75014;Paris;Tabac Pte d'Orléans
530473;48.816396, 2.384721;;75 rue Maurice Thorez;94200;Ivry-sur-Seine;Le Vieux Moulin
530478;48.752575, 2.419658;;7 Av. Jean Jaures;94600;Choisy-le-Roi;Le rouget de l'isle
530497;48.839047, 2.332933;;31 rue Bézout;75014;Paris;La Table de Bézout
530502;48.818497, 2.302658;;4 Av. Jules Ferry;92240;Malakoff;Couleurs
530510;48.752575, 2.419658;;36 rue Georges Clémenceau;94600;Choisy-le-Roi;Le Clémenceau
530533;48.751833, 2.32521;Dimanche;9 Pl. de l' Eglise;94260;Fresnes;Tabac Presse Eglise
530538;48.818497, 2.302658;Dimanche;21Ter Bd de Stalingrad;92240;Malakoff;Le Montana
520554;48.953432, 2.419177;;224 Av. du 8 mai 1945;93440;Dugny;Le Terminus
520651;48.855626, 2.357026;Lundi;4 rue de la Bastille;75004;Paris;La Civette Bastille
530194;48.831735, 2.367073;Dimanche;124 rue de Tolbiac;75013;Paris;La Bouffarde
530278;48.808009, 2.281393;Dimanche;102 Av. de Paris;92320;Châtillon;Au Fil des Jours
530350;48.819501, 2.322161;;130 Av. Aristide Briand;92120;Montrouge;Le Carvès
530433;48.693889, 2.34886;Dimanche;3 Pl.  de la Gare;91600;Savigny-sur-Orge;Tabac de la Gare
530456;48.849498, 2.347052;;80 Bd Port-Royal;75005;Paris;Espace Tabac
530584;48.808009, 2.281393;;60 Av. de Paris;92320;Châtillon;Le Monde en Marche
530593;48.737834, 2.398297;;7 Pl. du 8 Mai 1945;94310;Orly;Tabac de La Gare
540486;48.853806, 2.293985;Dimanche;45BIS rue de Vouillé;75015;Paris;Press'tation
510312;48.827616, 2.242153;;2 Rond Point Rhin et Danube;92100;Boulogne-Billancourt;Presse
510669;48.877055, 2.249204;;105 Av. Charles de Gaulle;92200;Neuilly-sur-Seine;Civette de Neuilly
