identifiant commerce;point geo;dea_jour_fermeture;dea_numero_rue_livraison;dea_code_postal_livraison;dea_commune_livraison;dea_nom_commerce
510393;48.915494, 2.298299;;60 rue Pierre Timbaud;92230;Gennevilliers;Le Diplomate
510480;48.884769, 2.335947;Dimanche;4 Pl. Jacques Froment;75018;Paris;Le Terminus
510512;48.894782, 2.322923;;17 rue des Dames;75017;Paris;Le Narval
510541;48.86797, 2.27538;;4 rue Benjamin Franklin;75016;Paris;Tabac Franklin
510605;48.884769, 2.335947;;6 rue Ordener;75018;Paris;Le Flash
510656;48.790711, 2.221407;;19 Av. du Maréchal Leclerc;92360;Meudon-la-Forêt;Tabac du Parc
520028;48.860023, 2.57571;Dimanche;2 Av. Paul Doumer;93460;Gournay-sur-Marne;Tabac de L'Église
520273;48.88236, 2.620064;;95 Av. des Sciences;77500;Chelles;L'Ecu de France
520425;48.860773, 2.385278;Dimanche;36 rue Oberkampf;75011;Paris;Le Lutecia
520641;48.8491, 2.371086;Dimanche;242 Av. Daumesnil;75012;Paris;La Civette Daumesnil
530206;48.849498, 2.347052;Dimanche;40 rue Monge;75005;Paris;Tabac Alfa
530241;48.8106, 2.414328;;123 rue Paul Vaillant-Couturier;94140;Alfortville;Le Perroquet Vert
540192;48.877055, 2.249204;Dimanche;91 Av. du Roule;92200;Neuilly-sur-Seine;Le Winston
540232;48.884769, 2.335947;Dimanche;65 rue Caulaincourt;75018;Paris;Cépage Montmartrois
540496;48.877615, 2.312373;Dimanche;45 rue d'Amsterdam;75008;Paris;Le Liège
540548;48.8491, 2.371086;;4 Pas. Saint-Emilion;75012;Paris;La Civette de Bercy
510276;48.819445, 2.247853;Dimanche;68 R.du Gouverneur Général Eboué;92130;Issy-les-Moulineaux;Tabac du Centre
510329;48.894782, 2.322923;Lundi;53 rue de Tocqueville;75017;Paris;Le Brazza
510550;48.897048, 2.241683;;35 rue Jean Pierre Timbaud;92400;Courbevoie;Le Flash
510551;48.892534, 2.281958;Dimanche;34 rue Rivay;92300;Levallois-Perret;Le café des Sports
510576;48.86797, 2.27538;;96 rue Raynouard;75016;Paris;Tabac Jeux
510589;48.894782, 2.322923;;29 rue Brochant;75017;Paris;Le Rallye
520278;48.8491, 2.371086;Dimanche;21 Av. Ledru-Rollin;75012;Paris;Café de la Seine
520345;48.854294, 2.438276;;175 Bd de la Boissière;93100;Montreuil;Le Celtique
520383;48.775043, 2.68431;Dimanche;3 Pl. Roger Nicolas;77330;Ozoir-la-Ferrière;Tabac de la Gare
520653;48.872522, 2.373632;Dimanche;7 rue Beaurepaire;75010;Paris;La Barrique
530156;48.858354, 2.344695;Dimanche;10 rue des Halles;75001;Paris;Et Cetera
530303;48.839047, 2.332933;Dimanche;49 rue de la Gaîté;75014;Paris;Tabac de la Gaïté
530428;48.839047, 2.332933;;36-38 rue des Plantes;75014;Paris;Tabac des Plantes
530527;48.818497, 2.302658;;2 Bd du Col. Fabien;92240;Malakoff;Tabac du Clos
530530;48.839047, 2.332933;;177 Bd Brune;75014;Paris;La Bouffarde
540144;48.837954, 2.472565;Dimanche;7 Bd de Strasbourg;94130;Nogent-sur-Marne;Le Watteau
540180;48.956737, 2.375803;Lundi;107 Av. de Stalingrad;93240;Stains;Civette du Globe
540402;48.818497, 2.302658;Dimanche;59 Av. Pierre Larousse;92240;Malakoff;Librairie Malakoff
510501;48.86797, 2.27538;;64 rue Michel Ange;75016;Paris;Tabac de l'empire
510610;48.884769, 2.335947;;62 rue Damrémont;75018;Paris;La Civette des Arts
510639;48.86797, 2.27538;Dimanche;30 rue Greuze;75016;Paris;Tabac des Sablons
520321;48.909659, 2.434088;Lundi;38 Chemin de Groslay;93000;Bobigny;Le Bar des Amis
520504;48.936029, 2.339069;;2 R.Mechin;93450;L'Île-Saint-Denis;Tabac de la Mairie
520505;48.901601, 2.519572;Lundi;8 Pl. du Général de Gaulle;93340;Le Raincy;La Civette du Raincy
520614;48.852471, 2.404497;;108 Bd Davout;75020;Paris;La Civette Davout
530228;48.839047, 2.332933;Dimanche;220 Av. du Maine;75014;Paris;La Civette d'Alésia
530313;48.801869, 2.475841;Dimanche;90 rue Garibaldi;94100;Saint-Maur-des-Fossés;Le Kennedy
530317;48.784344, 2.381742;Dimanche;34 Av. Youri Gagarine - C.Cial;94400;Vitry-sur-Seine;Clair de Plume
530319;48.856246, 2.323946;Dimanche;151 rue de l'Université;75007;Paris;Café de l'Université
530342;48.831735, 2.367073;;93 rue Pascal;75013;Paris;Le Café Noisette
530421;48.702005, 2.321789;;1 Pl. de la Libération -CCAL;91380;Chilly-Mazarin;Tabac - Presse
530515;48.831735, 2.367073;;30 Av. d' Italie;75013;Paris;La Tabacase
530575;48.781734, 2.358716;;8 Avenue Louis Aragon;94800;Villejuif;Brasserie Aragon
540053;48.852471, 2.404497;Dimanche;45 rue Saint-Blaise;75020;Paris;L‘obelisque
520550;48.921989, 2.370849;;129 Av. Jean Jaurès;93300;Aubervilliers;Tabac Le Beau Relais
520595;48.864056, 2.355819;Dimanche;58 rue Beaubourg;75003;Paris;Le Brelan
520617;48.8491, 2.371086;;76 Bd  Soult;75012;Paris;Tabac Soult
520637;48.864056, 2.355819;;5 Bd de Saint-Denis;75003;Paris;La Violette
520649;48.855626, 2.357026;Dimanche;6 rue Saint-Martin;75004;Paris;Le Victoria
530318;48.8106, 2.414328;;48 rue Etienne Dolet;94140;Alfortville;Le Tom Tip
530438;48.784344, 2.381742;;59 Bd de Stalingrad;94400;Vitry-sur-Seine;Tabac de l'Empire
540593;48.80992, 2.335137;Dimanche;20 rue Émile Raspail;94110;Arcueil;Au Bon Tabac
540626;48.819205, 2.287589;Dimanche;83 Av. Victor Hugo;92170;Vanves;Au Soleil Levant
510318;48.960601, 2.274468;;6 Pl. du 11 Novembre;95100;Argenteuil;Le Gaulois
510324;48.894782, 2.322923;Dimanche;118 Bd  Berthier;75017;Paris;Le Voltigeur
510356;48.892534, 2.281958;Mercredi;31 rue Carnot;92300;Levallois-Perret;Tabac du Marché
510538;48.894782, 2.322923;Dimanche;145 Av. de Villiers;75017;Paris;Le Calumet
510661;48.869491, 2.223011;;45 rue des Chênes;92150;Suresnes;Tabac des Chênes
510671;48.960601, 2.274468;;61 rue Paul Vaillant Couturier;95100;Argenteuil;La Divette
520016;48.839613, 2.52861;Dimanche;41 Bd  Gallieni;94360;Bry-sur-Marne;Totem
520122;48.928676, 2.527589;Mercredi;38 rue d'Aulnay;93270;Sevran;L‘Imperial
520144;48.903216, 2.576477;Dimanche;186 Av. Jean Jaurès;93370;Montfermeil;Civette des 7 Iles
520266;48.880661, 2.377187;Dimanche;38 rue de Joinville;75019;Paris;Le Cadre Noir
520444;48.860773, 2.385278;Dimanche;111 Av. Ledru Rollin;75011;Paris;Le Marceau
520445;48.8491, 2.371086;Dimanche;82 Av. de St Mandé;75012;Paris;Le St-Mandé
520570;48.92996, 2.35306;Dimanche;44 Bd  Jules Guesde;93200;Saint-Denis;Bar Tabac Le Balto
520599;48.86853, 2.419924;Dimanche;2 rue Raoul Berton;93170;Bagnolet;Tbc L'Hotel de Ville
520604;48.880661, 2.377187;;52 rue des Alouettes;75019;Paris;Le Pot de Vie
520609;48.852471, 2.404497;Dimanche;20 rue Deveria;75020;Paris;Le Cantal
520625;48.921914, 2.539255;;17 Pl. de la Libération;93190;Livry-Gargan;Le Fontenoy
520627;48.872522, 2.373632;;26 rue du Château d'eau;75010;Paris;Tabac le Navy
530480;48.866625, 2.351731;;47 rue Montorgueil;75002;Paris;Calumet des Halles
530481;48.831735, 2.367073;;47 Av. de Choisy;75013;Paris;Tabac de Choisy
530482;48.804452, 2.351878;;26 Av. de Fontainebleau;94270;Le Kremlin-Bicêtre;Le Royal Marigny
530514;48.772566, 2.327217;Mercredi;31 Av. des Dahlias;94240;L'Haÿ-les-Roses;Le Week End
530536;48.716083, 2.40649;Dimanche;0 1-3 Pl. de Rothenburg;91200;Athis-Mons;Le Rothenburg
540629;48.913623, 2.292275;Dimanche;102 Av. d'Argenteuil;92600;Asnières-sur-Seine;Le Rénitas
510067;48.881508, 2.232296;Dimanche;117 rue Jean Jaurès;92800;Puteaux;Le Diplomate
510237;48.926672, 2.261993;Lundi;125 Av. de Stalingrad;92700;Colombes;La Belle Colombes
510243;48.875598, 2.194162;;53 rue Haute;92500;Rueil-Malmaison;Le Richelieu
510296;48.819445, 2.247853;;4 Pl. Paul Vaillant Couturier;92130;Issy-les-Moulineaux;Le Fumoir
510401;48.77766, 2.268352;;10 Av. de la Libération;92350;Le Plessis-Robinson;Tabac du Marché
510582;48.877615, 2.312373;Dimanche;15 rue la Boétie;75008;Paris;Tabac Le Derby
520047;48.85812, 2.512732;Dimanche;3 rue des Renouillères;93360;Neuilly-Plaisance;Virgule
520292;48.880661, 2.377187;;76 Av. de Flandre;75019;Paris;Le Marigny
520388;48.93221, 2.405656;Dimanche;1 Av. Paul Vaillant Couturier;93120;La Courneuve;L'Imprévu
520406;48.915483, 2.467763;Dimanche;14 rue Arthur Fontaine;93700;Drancy;Librairie Fontaine
520518;48.86853, 2.419924;Dimanche;28 Av. du Général de Gaulle;93170;Bagnolet;Civette de Bel Est
520534;48.880661, 2.377187;;37 rue Alphonse Karr;75019;Paris;Karr Presse
520574;48.855626, 2.357026;Dimanche;37 rue des Deux Ponts;75004;Paris;Le Saint-louis
530436;48.839047, 2.332933;;55 rue du Père Corentin;75014;Paris;Le Saint-Laurent
530496;48.839047, 2.332933;;5 Av. du Général Leclerc;75014;Paris;Tabac du lion
540108;48.784344, 2.381742;Dimanche;2 rue Eugène Henaff CCial;94400;Vitry-sur-Seine;Eliyah
540551;48.866625, 2.351731;Dimanche;150 rue Saint-Denis;75002;Paris;Le Losange
510229;48.90196, 2.299159;Dimanche;83 Bd Jean Jaurès;92110;Clichy;Tabac de la Mairie
510292;48.880008, 2.203497;;87 rue Maurice Thorez;92000;Nanterre;L‘Européen
510617;48.90196, 2.299159;Dimanche;8 rue Georges Boisseau;92110;Clichy;Civette le Breizh
510637;48.904633, 2.338298;Dimanche;56 rue des Rosiers;93400;Saint-Ouen;Tabac les Rosiers
510642;48.880008, 2.203497;;167 Bd des Provinces Françaises;92000;Nanterre;LE SOYOUZ
510654;48.913623, 2.292275;;102 Av. d'Argenteuil;92600;Asnières-sur-Seine;Le Renitas
520003;48.881093, 2.431978;Mercredi;3 rue de Paris;93230;Romainville;Tabac de la Mairie
520149;48.944878, 2.556817;Dimanche;4 Av. du parc de la Noue;93420;Villepinte;Villa Picta
520272;48.928676, 2.527589;;10 rue de la Gare;93270;Sevran;Le Terminus
520337;48.92996, 2.35306;Dimanche;32 rue de la République;93200;Saint-Denis;Le Métropole
520357;48.88236, 2.620064;Dimanche;20 rue Gambetta;77500;Chelles;Espace Gambetta
520460;48.889799, 2.465743;Dimanche;7 Bd de la République;93130;Noisy-le-Sec;Le Brazza
520491;48.915368, 2.551732;Dimanche;26 Pl. de la Tour;93390;Clichy-sous-Bois;Tabac de La Mairie
520494;48.921914, 2.539255;Lundi;39 rue Eugène Masse;93190;Livry-Gargan;Le Cyrano
520508;48.852471, 2.404497;Dimanche;54 rue de Bagnolet;75020;Paris;Tabac Krys
520530;48.92996, 2.35306;Jeudi;2 Pl. du Square Pierre de Geyter;93200;Saint-Denis;Le Fontenoy
520579;48.82007, 2.465875;Dimanche;3 Av. Jean Jaurès;94340;Joinville-le-Pont;Le Joinville
520583;48.880661, 2.377187;;1 rue de Romainville;75019;Paris;Civette Télègraphe
520621;48.892324, 2.540729;Dimanche;13 Pl. Tavarnelle;93220;Gagny;Tabac du Chesnay
520648;48.889799, 2.465743;Dimanche;1 rue Anatole France;93130;Noisy-le-Sec;Le Celtique
520655;48.852471, 2.404497;;306 rue de Belleville;75020;Paris;Tabac Pte des Lilas
530291;48.831735, 2.367073;Dimanche;53 Bd  Arago;75013;Paris;Tabac  Arago
530337;48.784344, 2.381742;Dimanche;6 Pl. Paul Froment;94400;Vitry-sur-Seine;Le Reinitas
530469;48.852773, 2.340696;Dimanche;9 rue de Sevres;75006;Paris;Le Brazza
540084;48.765389, 2.365802;Dimanche;15 rue de la Tour;94550;Chevilly-Larue;Tabac de la Tour
540136;48.781734, 2.358716;Dimanche;29 Av. Paul Vaillant-Couturier;94800;Villejuif;Le Disque Bleu
510260;48.778134, 2.236447;Dimanche;9 rte du Pavé Blanc;92140;Clamart;Le Temps de Lire
510333;48.894782, 2.322923;Dimanche;70-72 Bd des Batignolles;75017;Paris;Le Chaptal
510335;48.877615, 2.312373;Dimanche;5 rue de Miromesnil;75008;Paris;Elysée
510409;48.894782, 2.322923;Dimanche;73 Av. de Clichy;75017;Paris;Royal Clichy
510494;48.955869, 2.295877;;15 Imp. du Noyer Bossu;93800;Épinay-sur-Seine;Presse L'Obélisque
510579;48.892534, 2.281958;Dimanche;75 rue Victor Hugo;92300;Levallois-Perret;Le Lutetia
510594;48.853806, 2.293985;Dimanche;197 rue Lecourbe;75015;Paris;L'Ariel
510608;48.926672, 2.261993;Dimanche;76 Av. Henri Barbusse;92700;Colombes;Le Régence
510625;48.819445, 2.247853;;267 rue Jean Jacques Rousseau;92130;Issy-les-Moulineaux;Café Tramway d'Issy
510630;48.897048, 2.241683;;9 rue Sainte-Marie;92400;Courbevoie;Librairie Ste Marie
510644;48.853806, 2.293985;;37 Bd Victor;75015;Paris;Les Aviateurs
520500;48.8491, 2.371086;Samedi;48 Av. du Général Michel Bizot;75012;Paris;Bar Le Diplomate
520548;48.920796, 2.483518;Lundi;5 rue Jacques Duclos;93600;Aulnay-sous-Bois;Tabac du Marché
530165;48.831735, 2.367073;Dimanche;7 rue Elsa Morante;75013;Paris;Maison de la Presse
530234;48.781734, 2.358716;Dimanche;33 Av. de Paris;94800;Villejuif;Tabac Ile de France
530266;48.856246, 2.323946;;27 Bd de la Tour Maubourg;75007;Paris;Le Centenaire
530347;48.81049, 2.347848;;54 Av. Raspail;94250;Gentilly;Tabac le Gallia
530446;48.839047, 2.332933;;84 rue Raymond Losserand;75014;Paris;Le 7 ème Art
530485;48.786791, 2.330118;Dimanche;13 Av. de la Division Leclerc;94230;Cachan;Librairie du Parc
530488;48.856246, 2.323946;Dimanche;23 Av.de la Motte Picquet;75007;Paris;Cave a Cigares
530507;48.813513, 2.449794;;29 Av. de la République;94700;Maisons-Alfort;La Civette
530552;48.831735, 2.367073;;129 Bd Masséna;75013;Paris;Tabac - Presse
530554;48.702005, 2.321789;;36 Av. Mazarin C.C.de Bel Abord;91380;Chilly-Mazarin;Le Calumet
540079;48.752575, 2.419658;Mercredi;64 Av. Victor Hugo;94600;Choisy-le-Roi;Civette des Gondoles
540517;48.877615, 2.312373;Dimanche;1 rue Clapeyron;75008;Paris;L' Espace Tabac
540545;48.831735, 2.367073;Dimanche;64 rue de Tolbiac;75013;Paris;Le Rallye
540658;48.92996, 2.35306;Mercredi;34 rue Gabriel Péri;93200;Saint-Denis;Au Maryland
510460;48.960601, 2.274468;Dimanche;2 Bd Léon Feix;95100;Argenteuil;Le Brelan
510492;48.875598, 2.194162;;2 rue du Gué;92500;Rueil-Malmaison;Le Narval
510591;48.844596, 2.219476;Dimanche;37 rue d'Orléans;92210;Saint-Cloud;Tabac de la Colline
510619;48.884769, 2.335947;;2 Pl. de la Chapelle;75018;Paris;La Royale
520255;48.893158, 2.412544;;135 Av.  Jean Lolive;93500;Pantin;Le Victor Hugo
520327;48.92996, 2.35306;Dimanche;68 rue Gabriel Péri;93200;Saint-Denis;Au Diplomate
520331;48.893158, 2.412544;Dimanche;2 Av. Édouard Vaillant;93500;Pantin;Au Petit Tabac
520427;48.915679, 2.481798;Dimanche;64 rue Jules Guesde;93140;Bondy;Tabac du Centre
