Données;format;Download
Horaires des trains Transilien GTFS;GTFS;https://eu.ftp.opendatasoft.com/sncf/gtfs/transilien-gtfs.zip
Horaires des trains Transilien NeTEx;NeTEx;https://eu.ftp.opendatasoft.com/sncf/gtfs/transilien-netexfr.zip
