JOUR,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET,LIBELLE_ARRET,ID_REFA_LDA,CATEGORIE_TITRE,NB_VALD,date
20/12/2022,100,110,509,MARAICHERS,71703,NON DEFINI,243,2022
20/12/2022,100,110,509,MARAICHERS,71703,TST,477,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,?,635,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,AMETHYSTE,523,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,AUTRE TITRE,1047,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,FGT,628,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,IMAGINE R,1959,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,NAVIGO,7046,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,NAVIGO JOUR,23,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,NON DEFINI,370,2022
20/12/2022,100,110,510,MARCADET-POIS.,71511,TST,1539,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,?,270,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,AMETHYSTE,288,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,AUTRE TITRE,1926,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,FGT,249,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,IMAGINE R,2380,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,NAVIGO,8115,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,NAVIGO JOUR,23,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,NON DEFINI,460,2022
20/12/2022,100,110,513,MARCEL SEMBAT,71054,TST,737,2022
20/12/2022,100,110,519,MARX DORMOY,71510,NAVIGO,5,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,?,72,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,AMETHYSTE,164,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,AUTRE TITRE,794,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,FGT,73,2022
20/12/2022,100,110,525,MAUBERT-MUTUA.,71190,IMAGINE R,1166,2022
