Code INSEE;Commune;Population municipale;Année
91589;Savigny-sur-Orge;37319;2008
91619;Torfou;270;2008
92023;Clamart;51407;2008
92060;Le Plessis-Robinson;24675;2008
93063;Romainville;25621;2008
94076;Villejuif;53240;2008
95078;Boissy-l'Aillerie;1784;2008
95110;Brignancourt;210;2008
95250;Fosses;9663;2008
95253;Frémainville;482;2008
95610;Théméricourt;266;2008
95611;Theuville;30;2008
95625;Us;1296;2008
75101;PARIS 1ER ARRONDISSEMENT;17915;2007
77003;AMPONVILLE;363;2007
77010;AUBEPIERRE-OZOUER-LE-REPOS;895;2007
77012;AUGERS-EN-BRIE;304;2007
77024;BASSEVELLE;352;2007
77044;BOMBON;913;2007
77080;CHAMPCENEST;118;2007
77097;CHARTRONGES;267;2007
77112;CHEVRAINVILLIERS;222;2007
77123;COMPANS;708;2007
77147;LA CROIX-EN-BRIE;661;2007
77256;LIZINES;165;2007
77292;MESSY;1081;2007
77300;MONTCEAUX-LES-MEAUX;618;2007
77312;MONTIGNY-SUR-LOING;2749;2007
77321;MOUSSEAUX-LES-BRAY;660;2007
77323;MOUSSY-LE-VIEUX;1085;2007
77325;MOUY-SUR-SEINE;373;2007
77361;PIERRE-LEVEE;437;2007
77451;SIGNY-SIGNETS;599;2007
77454;SOGNOLLES-EN-MONTOIS;415;2007
78005;ACHERES;19789;2007
78010;LES ALLUETS-LE-ROI;1200;2007
78050;BAZOCHES-SUR-GUYONNE;590;2007
78239;FOLLAINVILLE-DENNEMONT;1871;2007
78296;GUITRANCOURT;625;2007
78354;MAGNANVILLE;5505;2007
78403;MEZY-SUR-SEINE;1908;2007
78531;ROSNY-SUR-SEINE;5181;2007
78643;VERNOUILLET;9356;2007
91179;LE COUDRAY-MONTCEAUX;4250;2007
91225;ETIOLLES;3040;2007
91272;GIF-SUR-YVETTE;21736;2007
91412;MONDEVILLE;667;2007
91461;OLLAINVILLE;4565;2007
91534;SACLAY;3013;2007
91549;SAINTE-GENEVIEVE-DES-BOIS;34411;2007
91568;SAINT-MAURICE-MONTCOURONNE;1577;2007
91634;VAUGRIGNEUSE;1213;2007
91639;VAYRES-SUR-ESSONNE;900;2007
91657;VIGNEUX-SUR-SEINE;26497;2007
94076;VILLEJUIF;51410;2007
95014;ANDILLY;2449;2007
95424;MONTIGNY-LES-CORMEILLES;18526;2007
95427;MONTMAGNY;14037;2007
95436;MOURS;1401;2007
75108;Paris 8ème arrondissement;38702;2008
77036;Boisdon;86;2008
77114;Chevry-Cossigny;3668;2008
77152;Dammarie-les-Lys;20068;2008
77163;Douy-la-Ramée;282;2008
77174;Everly;600;2008
77202;La Genevraye;631;2008
77209;Gouvernes;1111;2008
77230;Ichy;152;2008
77239;Jouy-le-Châtel;1420;2008
77287;Meilleray;482;2008
77371;Pommeuse;2693;2008
77389;La Rochette;2975;2008
77489;Vaux-sur-Lunain;196;2008
78043;Bailly;3975;2008
78263;Gambais;2422;2008
78300;Hargeville;374;2008
75116;Paris 16ème arrondissement;169372;2009
77013;Aulnoy;388;2009
77045;Bougligny;715;2009
77062;Carnetin;461;2009
77098;Châteaubleau;322;2009
77166;Écuelles;2515;2009
77181;Ferrières-en-Brie;2153;2009
77187;Fontaine-Fourches;589;2009
77206;Giremoutiers;144;2009
77210;La Grande-Paroisse;2598;2009
77259;Longperrier;2370;2009
77289;Melz-sur-Seine;377;2009
77303;Montdauphin;225;2009
77308;Montgé-en-Goële;690;2009
77313;Montmachoux;229;2009
77333;Nemours;12692;2009
77440;Sammeron;1031;2009
77451;Signy-Signets;598;2009
77511;Villeneuve-sous-Dammartin;616;2009
77520;Villiers-sous-Grez;760;2009
78015;Andrésy;12242;2009
78033;Aulnay-sur-Mauldre;1150;2009
78092;Bougival;8419;2009
78192;Dammartin-en-Serve;1005;2009
78209;Émancé;834;2009
78231;Favrieux;145;2009
78307;Hermeray;939;2009
78368;Mareil-sur-Mauldre;1736;2009
78397;Le Mesnil-Saint-Denis;6623;2009
78416;Montalet-le-Bois;321;2009
78472;Orsonville;332;2009
78550;Saint-Germain-de-la-Grange;1837;2009
78551;Saint-Germain-en-Laye;40945;2009
78653;Vicq;325;2009
75106;PARIS 6E  ARRONDISSEMENT;44919;1999
77014;AVON;14030;1999
77080;CHAMPCENEST;116;1999
77098;CHATEAUBLEAU;263;1999
77108;CHELLES;45399;1999
77147;LA CROIX-EN-BRIE;651;1999
77330;NANTEUIL-LES-MEAUX;5009;1999
77338;NOISY-RUDIGNON;460;1999
77358;PENCHARD;799;1999
77383;RAMPILLON;607;1999
77428;SAINT-OUEN-EN-BRIE;704;1999
77492;VERDELOT;653;1999
77511;VILLENEUVE-SOUS-DAMMARTIN;534;1999
78003;ABLIS;2705;1999
78009;ALLAINVILLE;293;1999
78125;LA CELLE-LES-BORDES;842;1999
78152;CHAVENAY;1752;1999
78171;CONDE-SUR-VESGRE;1038;1999
78261;GAILLON-SUR-MONTCIENT;646;1999
78440;LES MUREAUX;31739;1999
78576;SAINT-REMY-L'HONORE;1299;1999
78642;VERNEUIL-SUR-SEINE;14538;1999
78650;LE VESINET;15921;1999
75103;PARIS- 3E__ARRONDISSEMENT;35102;1990
77028;BEAUTHEIL;410;1990
77079;CHAMPAGNE-SUR-SEINE;6092;1990
77080;CHAMPCENEST;114;1990
77101;CHATENAY-SUR-SEINE;838;1990
77292;MESSY;787;1990
77297;MONDREVILLE;320;1990
77300;MONTCEAUX-LES-MEAUX;532;1990
77306;MONTEREAU-SUR-LE-JARD;284;1990
77312;MONTIGNY-SUR-LOING;2553;1990
77315;MONTRY;2781;1990
77323;MOUSSY-LE-VIEUX;836;1990
77423;SAINT-MARTIN-DES-CHAMPS;450;1990
77458;SOUPPES-SUR-LOING;4851;1990
77494;VERNOU-LA-CELLE-SUR-SEINE;2260;1990
78013;ANDELU;346;1990
78030;AUFFARGIS;1925;1990
78068;BLARU;745;1990
78072;BOINVILLIERS;234;1990
78224;L'ETANG-LA-VILLE;4567;1990
78233;FEUCHEROLLES;2699;1990
78329;LAINVILLE;664;1990
78349;LONGVILLIERS;375;1990
78397;LE MESNIL-SAINT-DENIS;6528;1990
78415;MONTAINVILLE;419;1990
78444;NEAUPHLETTE;594;1990
78575;SAINT-REMY-LES-CHEVREUSE;5589;1990
91377;MASSY;38574;1990
91433;MORIGNY-CHAMPIGNY;3656;1990
91482;PECQUEUSE;474;1990
91577;SAINTRY-SUR-SEINE;4929;1990
92004;ASNIERES-SUR-SEINE;71850;1990
92071;SCEAUX;18052;1990
93055;PANTIN;47303;1990
93057;LES PAVILLONS-SOUS-BOIS;17375;1990
94081;VITRY-SUR-SEINE;82400;1990
95060;BESSANCOURT;6429;1990
95144;CHATENAY-EN-FRANCE;60;1990
95177;CORMEILLES-EN-VEXIN;802;1990
95301;HAUTE-ISLE;245;1990
95371;MARLY-LA-VILLE;5128;1990
95594;SEUGY;762;1990
95611;THEUVILLE;55;1990
95628;VALMONDOIS;1095;1990
95678;VILLIERS-ADAM;772;1990
91122;BURES-SUR-YVETTE;9679;1999
91243;FONTENAY-LES-BRIIS;1707;1999
91318;JANVILLE-SUR-JUINE;1788;1999
91570;SAINT-MICHEL-SUR-ORGE;20375;1999
91599;SOISY-SUR-ECOLE;1321;1999
91617;TIGERY;1257;1999
91657;VIGNEUX-SUR-SEINE;25652;1999
91661;VILLEBON-SUR-YVETTE;9373;1999
93007;LE BLANC-MESNIL;46936;1999
94004;BOISSY-SAINT-LEGER;15289;1999
94022;CHOISY-LE-ROI;34336;1999
95028;ATTAINVILLE;1732;1999
95046;BANTHELU;138;1999
95051;BEAUCHAMP;8986;1999
95078;BOISSY-L'AILLERIE;1668;1999
95213;EPIAIS-RHUS;636;1999
95426;MONTLIGNON;2427;1999
95491;LE PLESSIS-BOUCHARD;7006;1999
95529;RONQUEROLLES;742;1999
91017;ANGERVILLIERS;704;1982
91021;ARPAJON;7999;1982
91131;CHALOU-MOULINEUX;303;1982
91689;WISSOUS;4394;1982
92009;BOIS-COLOMBES;23780;1982
92046;MALAKOFF;32553;1982
92075;VANVES;22868;1982
93033;GOURNAY-SUR-MARNE;4220;1982
93053;NOISY-LE-SEC;36880;1982
94033;FONTENAY-SOUS-BOIS;52627;1982
94041;IVRY-SUR-SEINE;55699;1982
95012;AMENUCOURT;127;1982
95102;BREANCON;257;1982
95116;BRUYERES-SUR-OISE;1546;1982
95141;CHARMONT;32;1982
95424;MONTIGNY-LES-CORMEILLES;13644;1982
95633;VAUDHERLAND;89;1982
75115;PARIS-15E__ARRONDISSEMENT;225596;1982
77028;BEAUTHEIL;381;1982
77072;CHALAUTRE-LA-GRANDE;383;1982
77080;CHAMPCENEST;156;1982
77083;CHAMPS-SUR-MARNE;16739;1982
77125;CONDE-SAINTE-LIBIAIRE;1029;1982
77142;CRECY-LA-CHAPELLE;2413;1982
77164;ECHOUBOULAINS;484;1982
77169;EMERAINVILLE;2453;1982
77178;FAY-LES-NEMOURS;393;1982
77261;LORREZ-LE-BOCAGE-PREAUX;1051;1982
77287;MEILLERAY;385;1982
77310;MONTIGNY-LE-GUESDIER;192;1982
77376;PRECY-SUR-MARNE;277;1982
77449;SERRIS;422;1982
78050;BAZOCHES-SUR-GUYONNE;308;1982
78125;LA CELLE-LES-BORDES;580;1982
78158;LE CHESNAY;27647;1982
78172;CONFLANS-SAINTE-HONORINE;28977;1982
78227;EVECQUEMONT;541;1982
78245;FONTENAY-MAUVOISIN;198;1982
78269;GAZERAN;812;1982
78276;GOMMECOURT;454;1982
78343;LES LOGES-EN-JOSAS;1597;1982
78389;MERE;1140;1982
78451;NEZEL;793;1982
78524;ROCQUENCOURT;4034;1982
78606;LE TARTRE-GAUDRAN;18;1982
78615;THIVERVAL-GRIGNON;662;1982
78620;TOUSSUS-LE-NOBLE;150;1982
77014;AVON;14778;1982
77053;BRIE-COMTE-ROBERT;10347;1982
77147;LA CROIX-EN-BRIE;551;1982
77204;GERMIGNY-SOUS-COULOMBS;109;1982
77270;MAISONCELLES-EN-BRIE;523;1982
77337;NOISIEL;12446;1982
77381;QUIERS;362;1982
77390;ROISSY;15274;1982
77394;RUBELLES;1822;1982
77437;SAINT-SOUPPLETS;2008;1982
77439;SALINS;475;1982
77441;SAMOIS-SUR-SEINE;1574;1982
77487;VAUX-LE-PENIL;6960;1982
78015;ANDRESY;11185;1982
77088;LA CHAPELLE-LA-REINE;2674;2006
77096;CHARTRETTES;2514;2006
77119;CLOS-FONTAINE;248;2006
77174;EVERLY;606;2006
77205;GESVRES-LE-CHAPITRE;158;2006
77227;HERME;564;2006
77244;LARCHANT;724;2006
77266;MACHAULT;685;2006
77309;MONTHYON;1604;2006
77318;MORTCERF;1416;2006
77387;REMAUVILLE;428;2006
77411;SAINT-GERMAIN-SOUS-DOUE;461;2006
77420;SAINT-MARD;3625;2006
77424;SAINT-MARTIN-DU-BOSCHET;262;2006
77457;SOLERS;1279;2006
77471;TOUSSON;389;2006
77474;TRILBARDOU;592;2006
77528;VOISENON;1111;2006
77534;YEBLES;582;2006
78138;CHANTELOUP-LES-VIGNES;8924;2006
78185;COURGENT;393;2006
78239;FOLLAINVILLE-DENNEMONT;1876;2006
78346;LONGNES;1430;2006
78398;LES MESNULS;879;2006
78536;SAILLY;370;2006
78559;SAINT-ILLIERS-LE-BOIS;442;2006
78647;VERT;771;2006
78655;VIEILLE-EGLISE-EN-YVELINES;763;2006
75104;Paris 4ème arrondissement;27977;2008
77009;Arville;141;2008
77039;Boissise-la-Bertrand;963;2008
77056;Burcy;154;2008
77120;Cocherel;578;2008
77175;Évry-Grégy-sur-Yerre;2270;2008
77178;Faÿ-lès-Nemours;459;2008
77194;Forges;409;2008
77207;Gironville;188;2008
77236;Jaulnes;343;2008
77278;Marolles-en-Brie;420;2008
77294;Mitry-Mory;18513;2008
77311;Montigny-Lencoup;1255;2008
77323;Moussy-le-Vieux;1069;2008
77332;Nantouillet;265;2008
77372;Pomponne;3333;2008
77439;Salins;1014;2008
77449;Serris;7123;2008
78020;Arnouville-lès-Mantes;827;2008
78344;Lommoye;619;2008
78356;Magny-les-Hameaux;8881;2008
78397;Le Mesnil-Saint-Denis;6596;2008
78444;Neauphlette;909;2008
75108;PARIS 8E  ARRONDISSEMENT;39165;2007
77040;BOISSISE-LE-ROI;3619;2007
77068;CESSOY-EN-MONTOIS;215;2007
77116;CHOISY-EN-BRIE;1302;2007
77169;EMERAINVILLE;7152;2007
77195;FOUJU;484;2007
77205;GESVRES-LE-CHAPITRE;161;2007
77225;LA HAUTE-MAISON;256;2007
77227;HERME;569;2007
77287;MEILLERAY;479;2007
77328;NANTEAU-SUR-ESSONNE;426;2007
77373;PONTAULT-COMBAULT;34733;2007
77377;PRESLES-EN-BRIE;2067;2007
77404;SAINTE-COLOMBE;1723;2007
77461;THENISY;277;2007
77480;VALENCE-EN-BRIE;870;2007
