Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
12;Métro;OPERA;12269711;3;7;8;;;Paris;9
13;Métro;HOTEL DE VILLE;11953352;1;11;;;;Paris;4
19;Métro;NATION;9541406;1;2;6;9;;Paris;12
25;Métro;SAINT-MICHEL;8797595;4;;;;;Paris;5
20;Métro;PALAIS-ROYAL;9385220;1;7;;;;Paris;1
42;Métro;CRIMEE;6945245;7;;;;;Paris;19
39;Métro;GRANDS BOULEVARDS;7092775;8;9;;;;Paris;9
43;Métro;PONT DE NEUILLY;6902931;1;;;;;Neuilly Sur Seine;
41;Métro;MAIRIE DE CLICHY;6987958;13;;;;;Clichy;
67;Métro;SEVRES-BABYLONE;5540265;10;12;;;;Paris;7
101;Métro;SAINT-GERMAIN DES PRES;4498265;4;;;;;Paris;6
88;Métro;REAUMUR-SEBASTOPOL;4925640;3;4;;;;Paris;3
132;Métro;ANATOLE FRANCE;3866326;3;;;;;Levallois-Perret;
142;Métro;MAIRIE DE SAINT-OUEN;3716189;13;;;;;Saint Ouen;
144;Métro;CADET;3612956;7;;;;;Paris;9
170;Métro;CAMBRONNE;3097164;6;;;;;Paris;15
165;Métro;GAITE;3165824;13;;;;;Paris;14
183;Métro;SAINT-MAUR;2960155;3;;;;;Paris;11
189;Métro;MARAICHERS;2903399;9;;;;;Paris;20
187;Métro;PORTE DE LA CHAPELLE;2905144;12;;;;;Paris;18
191;Métro;BILLANCOURT;2838189;9;;;;;Boulogne Billancourt;
200;Métro;BERAULT;2723583;1;;;;;Vincennes;
214;Métro;JAVEL-ANDRE CITROEN;2565099;10;;;;;Paris;15
223;Métro;PORTE D'ITALIE;2486263;7;;;;;Paris;13
268;Métro;MAISONS-ALFORT-STADE;1689344;8;;;;;Maisons -Alfort;
224;Métro;LOURMEL;2483440;8;;;;;Paris;15
24;RER;NATION-RER;3902059;A;;;;;Paris;12
230;Métro;CRETEIL-L'ECHAT;2361971;8;;;;;Créteil;
278;Métro;VARENNE;1538258;13;;;;;Paris;7
248;Métro;EXELMANS;2060188;9;;;;;Paris;16
60;RER;SCEAUX;680371;B;;;;;sceaux;
256;Métro;PHILIPPE AUGUSTE;1876528;2;;;;;Paris;11
174;Métro;CHEVALERET;3058367;6;;;;;Paris;13
286;Métro;SAINT-GEORGES;1279016;12;;;;;Paris;9
254;Métro;FELIX FAURE;1895590;8;;;;;Paris;15
295;Métro;SAINT-FARGEAU;884413;3bis;;;;;Paris;8
300;Métro;BUTTES-CHAUMONT;507867;7bis;;;;;Paris;19
5;RER;CHATELET-LES HALLES-RER;18419580;A;B;;;;Paris;1
117;Métro;OBERKAMPF;4167444;5;9;;;;Paris;11
16;RER;LUXEMBOURG;5495050;B;;;;;Paris;5
143;Métro;EGLISE DE PANTIN;3693931;5;;;;;Pantin;
19;RER;MARNE-LA-VALLEE-CHESSY;4653134;A;;;;;Montévrain;
225;Métro;SEVRES-LECOURBE;2408327;6;;;;;Paris;15
289;Métro;ASSEMBLEE NATIONALE;1138571;12;;;;;Paris;7
10;Métro;CHATELET;13929657;1;4;7;11;14;Paris;1
51;RER;LOGNES;1563151;A;;;;;Lognes;
61;Métro;MIROMESNIL;5916541;9;13;;;;Paris;8
35;Métro;GAMBETTA;7445691;3;3bis;;;;Paris;20
74;Métro;VOLTAIRE;5341865;9;;;;;Paris;11
44;Métro;ANVERS;6888848;2;;;;;Paris;18
84;Métro;HOCHE;5046958;5;;;;;Pantin;
193;Métro;CARREFOUR PLEYEL;2829368;13;;;;;Saint Denis;
87;Métro;GLACIERE;4933269;6;;;;;Paris;13
201;Métro;NATIONALE;2710907;6;;;;;Paris;13
90;Métro;COLONEL FABIEN;4808282;2;;;;;Paris;10
205;Métro;COURCELLES;2650620;2;;;;;Paris;17
91;Métro;PLAISANCE;4794268;13;;;;;Paris;14
233;Métro;TRINITE-D'ESTIENNE D'ORVES;2296191;12;;;;;Paris;9
105;Métro;ECOLE MILITAIRE;4443503;8;;;;;Paris;7
255;Métro;MALAKOFF-RUE ETIENNE DOLET;1881782;13;;;;;Malakoff;
118;Métro;ALMA-MARCEAU;4060044;9;;;;;Paris;8
1;RER;GARE DU NORD-RER;46757083;B;;;;;Paris;10
119;Métro;CHATEAU D'EAU;4059164;4;;;;;Paris;10
6;RER;VAL DE FONTENAY;11863754;A;;;;;Fontenay-sous-Bois;
120;Métro;CHARONNE;4047046;9;;;;;Paris;12
9;RER;SAINT-MICHEL-NOTRE-DAME;7788001;B;;;;;Paris;0
146;Métro;LOUISE MICHEL;3594105;3;;;;;Levallois-Perret;
53;RER;FONTENAY-AUX-ROSES;1052661;B;;;;;Fontenay aux roses;
171;Métro;PORTE DE CHOISY;3085089;7;;;;;Paris;13
9;Métro;LA DEFENSE;14275382;1;;;;;Puteaux;
221;Métro;TELEGRAPHE;2506008;11;;;;;Paris;20
53;Métro;VILLIERS;6309746;2;3;;;;Paris;17
250;Métro;MICHEL BIZOT;2038450;8;;;;;Paris;12
55;Métro;CHATILLON-MONTROUGE;6246622;13;;;;;Chatillon;
298;Métro;BOLIVAR;646310;7bis;;;;;Paris;19
149;Métro;SENTIER;3568784;3;;;;;Paris;3
50;RER;LES BACONNETS;1585110;B;;;;;Antony;
179;Métro;NOTRE-DAME-DE-LORETTE;3007196;12;;;;;Paris;9
64;RER;COURCELLE-SUR-YVETTE;554234;B;;;;;Gif sur Yvette;
261;Métro;RASPAIL;1836323;4;6;;;;Paris;14
103;Métro;PORTE DE VANVES;4464578;13;;;;;Paris;14
40;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7051944;7;;;;;Aubervilliers;
114;Métro;LA MUETTE;4206204;9;;;;;Paris;16
49;Métro;LA CHAPELLE;6503089;2;;;;;Paris;9
158;Métro;DUROC;3339347;10;13;;;;Paris;7
66;Métro;REUILLY-DIDEROT;5662974;1;8;;;;Paris;12
210;Métro;CORVISART;2622998;6;;;;;Paris;13
77;Métro;ALESIA;5237657;4;;;;;Paris;14
222;Métro;LOUIS BLANC;2489483;7;7bis;;;;Paris;10
81;Métro;CHATEAU DE VINCENNES;5122469;1;;;;;Vincennes;
260;Métro;SAINT-FRANCOIS-XAVIER;1837976;13;;;;;Paris;7
148;Métro;TOLBIAC;3582639;7;;;;;Paris;13
292;Métro;VANEAU;964320;10;;;;;Paris;7
151;Métro;JOURDAIN;3462099;11;;;;;Paris;20
41;RER;ROBINSON;2167299;B;;;;;Sceaux;
194;Métro;ROME;2818857;2;;;;;Paris;17
52;RER;LE VESINET-CENTRE;1201471;A;;;;;Le Vésinet;
216;Métro;LIBERTE;2557299;8;;;;;Charenton;
71;Métro;BASILIQUE DE SAINT-DENIS;5393138;13;;;;;Saint Denis;
33;RER;LAPLACE;3013290;B;;;;;Arcueil;
128;Métro;LEDRU-ROLLIN;3917141;8;;;;;Paris;12
72;Métro;RICHELIEU-DROUOT;5362641;8;9;;;;Paris;9
135;Métro;LES GOBELINS;3835783;7;;;;;Paris;13
113;Métro;BLANCHE;4251153;2;;;;;Paris;9
242;Métro;MAISON BLANCHE;2122847;7;;;;;Paris;13
139;Métro;MARX DORMOY;3753736;12;;;;;Paris;18
252;Métro;BUZENVAL;1914564;9;;;;;Paris;20
161;Métro;BOURSE;3288142;3;;;;;Paris;2
14;RER;AUBER;6248528;A;;;;;Paris;9
164;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3175166;8;;;;;Maisons -Alfort;
23;Métro;PORTE MAILLOT;8998134;1;;;;;Paris;16
273;Métro;PONT MARIE;1624879;7;;;;;Paris;4
68;Métro;LA COURNEUVE-8 MAI 1945;5536146;7;;;;;La Courneuve;
275;Métro;PONT NEUF;1614109;7;;;;;Paris;4
76;Métro;PORTE DE SAINT-CLOUD;5284078;9;;;;;Paris;16
23;RER;BOURG-LA-REINE;4164559;B;;;;;Bourg la Reine;
190;Métro;PORTE DAUPHINE;2890496;2;;;;;Paris;16
27;RER;JOINVILLE-LE-PONT;3496468;A;;;;;Joinville-le-Pont;
209;Métro;MALESHERBES;2623165;3;;;;;Paris;17
57;RER;LE GUICHET;837809;B;;;;;Orsay;
217;Métro;SAINT-SULPICE;2551607;4;;;;;Paris;6
63;RER;MASSY-VERRIERES;554518;B;;;;;Massy;
220;Métro;CLUNY LA SORBONNE;2509657;10;;;;;Paris;5
31;Métro;HAVRE-CAUMARTIN;7899688;3;9;;;;Paris;9
