identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR_FERMETURE;DEA_NUMERO_RUE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON
510489;Le Landy;Dimanche;1 Bd Jean Jaurès;93400;Saint-Ouen
520620;La Perle;;17 All. Anatole France;93390;Clichy-sous-Bois
510268;Le Disque Bleu;Dimanche;60 R. du Théâtre;75015;Paris
520338;Les Copains;;213 Av. Paul Vaillant-Couturier;93150;Le Blanc-Mesnil
510494;Presse L'Obélisque;;15 Imp. du Noyer Bossu;93800;Épinay-sur-Seine
520631;Le Triple 8;;157 R. de Charenton;75012;Paris
510284;Chez Ludo et Dia;;3 Pl. d'Isigny;78000;Versailles
520349;Le Lutétia;Dimanche;156 R. La Fayette;75010;Paris
510495;Etoile;Mercredi;323 Av. d'Argenteuil;92270;Bois-Colombes
520632;Tabac de la Place;;4 R. Raymond Radiguet;95200;Sarcelles
510296;Le Fumoir;;4 Pl. Paul Vaillant Couturier;92130;Issy-les-Moulineaux
520357;Espace Gambetta;Dimanche;20 R. Gambetta;77500;Chelles
510514;La Baraka;Dimanche;73 Av. de la République;92400;Courbevoie
520637;La Violette;;5 Bd de Saint-Denis;75003;Paris
510330;Tabac de la Mairie;Dimanche;66 R. de la Pompe;75016;Paris
520359;Presse du Quartier;;6 R. Léon;93600;Aulnay-sous-Bois
510516;Havannah Stock;Dimanche;3 R. Baudin  C.Cial Charas;92400;Courbevoie
520641;La Civette Daumesnil;Dimanche;242 Av. Daumesnil;75012;Paris
510332;Le Bistrot;Dimanche;34 Av. du Mar. Foch;95100;Argenteuil
520363;Le Flash;Mardi;3 R. Ste Marguerite;93500;Pantin
510518;Le Réveil Matin;Dimanche;135 R. de Ménilmontant;75020;Paris
520642;Le Totem;;96 Bd  Diderot;75012;Paris
510400;Tabac Le Versailles;Dimanche;16 R. de Versailles;92140;Clamart
520389;Le Saint-Claude;Dimanche;3 R. de Bagnolet;75020;Paris
510523;Le Lutetia;Dimanche;161 R. Legendre;75017;Paris
520645;Tabac Civette Brunet;Mercredi;2 Av de la Porte Brunet;75019;Paris
510401;Tabac du Marché;;10 Av. de la Libération;92350;Le Plessis-Robinson
520407;L'Aubisque;Lundi;113 R. des Pyrénées;75020;Paris
510526;Tabac de la Mairie;Dimanche;21 R. du Trosy;92140;Clamart
520649;Le Victoria;Dimanche;6 R. Saint-Martin;75004;Paris
510417;Tabac de la Gare;Lundi;9 Av. de l'Agent Sarre;92700;Colombes
520415;Le Saint-Sauveur;Dimanche;15 R. Eric de Saint-Sauveur;95200;Sarcelles
510529;La maison du Marais;Dimanche;53 R. Saint Paul;75004;Paris
520651;La Civette Bastille;Lundi;4 R. de la Bastille;75004;Paris
510421;Le Maryland;;139 R. Victor Hugo;92270;Bois-Colombes
520422;Le Carnot;Dimanche;1 Av. de Verdun;93230;Romainville
510532;Le Lutétia;Dimanche;127 bd Jean Jaurès;92100;Boulogne-Billancourt
520658;Tabac du Parc;;48 Av. Ledru Rollin;94170;Le Perreux-sur-Marne
510422;Le Café du Quartie;;228 R. de Championnet;75018;Paris
520429;Le Normandie;;109 R. de Charonne;75011;Paris
510535;Le Cigarium;;5 R. Godot de Mauroy;75009;Paris
520659;Tabac Le Brazza;;19 Av. du Général de Gaulle;94420;Le Plessis-Trévise
510423;Les Volutés;Dimanche;114 R. de la Convention;75015;Paris
520432;L'Amicale;;9 R. des Trois Bornes;75011;Paris
510540;Espace Tabac;;19 R. Jean-Pierre Timbaud;92130;Issy-les-Moulineaux
530006;Librairie Peupleraie;Dimanche;44 Bd Pasteur;94260;Fresnes
510431;Café de la Gare;Dimanche;19 R. Banes;92190;Meudon
520441;Tabac de l'Ourcq;;98 R. de l'Ourcq;75019;Paris
510544;Tabac art et galerie;Dimanche;177 R. de Vaugirard;75015;Paris
530033;Le Val Pompadour;Dimanche;70 Av. Henri Barbusse;94460;Valenton
510435;Tabac Becon;;11 Av. de la Liberté;92400;Courbevoie
520460;Le Brazza;Dimanche;7 Bd de la République;93130;Noisy-le-Sec
510547;Tabac BINEAU;Dimanche;204 Bd Bineau;92200;Neuilly-sur-Seine
530056;7ème Avenue;Dimanche;60 Av. de Paris;94800;Villejuif
510438;Tabac de New Nesles;Dimanche;114 R. de Sèvres;75015;Paris
520468;Le Calumet;;9 Av. Secrétan;75019;Paris
510549;Tabac Le Joli Mai;Dimanche;29 Av. du Général de Gaulle;92360;Meudon-la-Forêt
530062;Tabac - Presse;Dimanche;63 R. du Moulin de Saquet;94800;Villejuif
510440;Tabac de la Boule;Dimanche;5 Pl. de la Boule;92000;Nanterre
520482;Le Rallye;Jeudi;11 Av. Jean Jaurès;93300;Aubervilliers
510552;La Belle Polle;;21  Grande Rue;92310;Sèvres
530130;Tabac Ecole Centrale;Dimanche;0 1-3 Av. de la Division Leclerc;92290;Châtenay-Malabry
510449;Le Diplomate;;15 R. Singer;75016;Paris
520487;Presse Grande Vallée;Dimanche;1 Av. Georges Pompidou;95500;Gonesse
510558;Tabac Royal Moulin;;16 R. de Clignancourt;75018;Paris
530142;Le Celtique;Dimanche;25 Bd Auguste Blanqui;75013;Paris
510450;Le Hollywood;Dimanche;19 R. de Clichy;75009;Paris
520491;Tabac de La Mairie;Dimanche;26 Pl. de la Tour;93390;Clichy-sous-Bois
510559;Tabac de l'Europe;Dimanche;11 R. de Lisbonne;75008;Paris
530157;Tabac des Sports;Dimanche;35 Av.de la Porte de Choisy;75013;Paris
510453;Le Jean Bart;Dimanche;11 R. d'Estienne d'Orves;92270;Bois-Colombes
520494;Le Cyrano;Lundi;39 R. Eugène Masse;93190;Livry-Gargan
510560;Du Point du Jour;Samedi;23 Pl. Marcel Pagnol;92100;Boulogne-Billancourt
530159;Journaux - Presse;Dimanche;215 R. de Tolbiac;75013;Paris
510459;Le Madrilène;;197 Av. Charles de Gaulle;92200;Neuilly-sur-Seine
520497;Tabac Bastille;;21 R. Daval;75011;Paris
510561;Tabac de l'Est;Dimanche;72 Bd de Strasbourg;75010;Paris
530186;L'Arche 13;Lundi;82 Bd Masséna;75013;Paris
510464;Le Vizir;;173 R. Ordener;75018;Paris
520506;La Cave à Cigares;;4 Bd  de Denain;75010;Paris
510562;Le Victor Hugo;;175 Av. Victor Hugo;92140;Clamart
530192;Librairie Blanqui 13;Dimanche;85 Bd. Auguste Blanqui;75013;Paris
510466;L'Européen;;22 Av. de l'Europe;92310;Sèvres
520508;Tabac Krys;Dimanche;54 R. de Bagnolet;75020;Paris
510564;Civette Ponce;;14 R. Poncelet;75017;Paris
530194;La Bouffarde;Dimanche;124 R. de Tolbiac;75013;Paris
510468;Tabac aux sports;;41 R. Saint-Denis;92700;Colombes
520513;Tabac Peng;Lundi;/ Av.de la République C.Cial2000;77340;Pontault-Combault
510566;Kennedy Eiffel;Dimanche;16 Av. du pdt Kennedy;75016;Paris
530198;La Page Massena;Dimanche;96 Bd Massena;75013;Paris
510474;Le Balard;;3 Pl. Balard;75015;Paris
520528;Le Maryland;;20 Bd  d' Alsace-Lorraine;94170;Le Perreux-sur-Marne
510572;Le Flash;Dimanche;38 R. Paul Barruel;75015;Paris
530201;Café Lilou;Dimanche;62 Bd du Port Royal;75005;Paris
510481;Le Beau Site;Dimanche;140 bd de la République;92210;Saint-Cloud
520529;Tabac Au Balcon;Lundi;142 Bd  de Ménilmontant;75020;Paris
510577;Hotel de Ville Café;Dimanche;12 Rd-Pt du Souvenir Français;92250;La Garenne-Colombes
530206;Tabac Alfa;Dimanche;40 R. Monge;75005;Paris
510485;Les Arcades;Dimanche;4 R. Athime Rué;92380;Garches
520530;Le Fontenoy;Jeudi;2 Pl. du Square Pierre de Geyter;93200;Saint-Denis
510579;Le Lutetia;Dimanche;75 R. Victor Hugo;92300;Levallois-Perret
530210;Le Fontenoy;Dimanche;135 Av. de la Division Leclerc;92160;Antony
510486;Le Royal Exelmans;;171 Av. de Versailles;75016;Paris
520532;Le Mistral;;27 R. Etienne Dolet;93140;Bondy
510583;L‘Ariel;Dimanche;1 R. des Morillons;75015;Paris
530229;Tabac - Presse;Dimanche;43 Av. Henri Barbusse;92220;Bagneux
510490;Tabac de la Mairie;;5 Av. Gabriel Péri;95870;Bezons
520541;Civette de la Mairie;Dimanche;10 Pl. du Chamoine Héroux;93330;Neuilly-sur-Marne
510587;Le Victor Hugo;Dimanche;29 R. Victor Hugo;95870;Bezons
530233;Le Cigare- La Flamme;Dimanche;81-85 rte de Provins  C.C Pince Vent;94490;Ormesson-sur-Marne
510493;Le Marigny;Dimanche;97 Route de la Reine;92100;Boulogne-Billancourt
520544;Tabac du Centre;Dimanche;23 Av. de la Commune de Paris;95140;Garges-lès-Gonesse
510594;L'Ariel;Dimanche;197 R. Lecourbe;75015;Paris
530241;Le Perroquet Vert;;123 R. Paul Vaillant-Couturier;94140;Alfortville
510497;Le Pot à Tabac;;28 R. de la Pépinière;75008;Paris
520552;Tabac du Clos;Dimanche;23 R. de la Mogotte;77200;Torcy
510600;Tabac La Comète;;50 R. Marx Dormoy;75018;Paris
530272;Tabac de la Mairie;Dimanche;165 Av. du Maine;75014;Paris
510499;Royal Clichy;Dimanche;29 Bd du Gén. Leclerc;92110;Clichy
520553;Le Real;;63 R. du Moutier;93300;Aubervilliers
510604;Le Celtique;;204 R. de Coucelles;75017;Paris
530278;Au Fil des Jours;Dimanche;102 Av. de Paris;92320;Châtillon
510501;Tabac de l'empire;;64 R. Michel Ange;75016;Paris
520555;Tabac le Jollois;Dimanche;39 Bd  Pasteur;93120;La Courneuve
510608;Le Régence;Dimanche;76 Av. Henri Barbusse;92700;Colombes
530306;Le Havane;;102 R. Montorgueil;75002;Paris
510530;Les Favorites;;125 R. Cambronne;75015;Paris
520565;La Tabatière;Dimanche;31 R. Philibert Hoffmann;93110;Rosny-sous-Bois
510609;Cave à Cigares;Dimanche;94 Bd de Courcelles;75017;Paris
530307;Le Voltaire;Dimanche;1 Pl. Voltaire;92290;Châtenay-Malabry
510534;Le Maine-Anjou;;4 R. Jean Jaurès;92170;Vanves
520572;Bar Tabac Le Narval;;247 R. de Charenton;75012;Paris
510613;Tabac la Caravelle;;14 R. d' Amsterdam;75009;Paris
530318;Le Tom Tip;;48 R. Etienne Dolet;94140;Alfortville
510537;Tabac Beauregard;;67 Av. du 18 Juin 1940;92500;Rueil-Malmaison
520579;Le Joinville;Dimanche;3 Av. Jean Jaurès;94340;Joinville-le-Pont
510623;Le Magenta;Dimanche;1 Pl. Magenta;92210;Saint-Cloud
530340;Le Corona;;30 Q. du Louvre;75001;Paris
510543;Ets la Source;Dimanche;1 R. de la Source;92000;Nanterre
520583;Civette Télègraphe;;1 R. de Romainville;75019;Paris
510625;Café Tramway d'Issy;;267 R. Jean Jacques Rousseau;92130;Issy-les-Moulineaux
530350;Le Carvès;;130 Av. Aristide Briand;92120;Montrouge
510546;Le Celtique;Dimanche;33 R.  Villeneuve;92110;Clichy
520586;Vallée de Vinales;;262 R. du Faubourg St-Martin;75010;Paris
510630;Librairie Ste Marie;;9 R. Sainte-Marie;92400;Courbevoie
530357;Tabac Eiffel;;22 Av. de la Bourdonnais;75007;Paris
510548;La Divette de Clichy;;18 Av. de Clichy;75018;Paris
520593;Tabac Presse;;120 R. Hélène Cochonnec;93300;Aubervilliers
510644;Les Aviateurs;;37 Bd Victor;75015;Paris
530393;Tabac l'Observatoire;;166 Bd du Montparnasse;75014;Paris
510553;Le Napoléon 1er;Dimanche;115 Av. Albert 1er;92500;Rueil-Malmaison
520607;Le Madison;;93 Av. de la République;93300;Aubervilliers
510646;Tabac le Niel;;42 R. Pierre Demours;75017;Paris
530397;Le Jean Bart;Dimanche;81 Av. de Fontainebleau;94270;Le Kremlin-Bicêtre
510555;Civette Trinité;;69 R. Saint Lazare;75009;Paris
520621;Tabac du Chesnay;Dimanche;13 Pl. Tavarnelle;93220;Gagny
510649;Le Mousquetaire;Dimanche;97 R. de Verdun;92150;Suresnes
530406;Le Fer à Cheval;Lundi;73 Av. Adrien Raynal;94310;Orly
510569;Mag Presse;;41 R. de Sartrouville;95870;Bezons
520622;Tabac du Marché;Mardi;15 R. du Marché;93160;Noisy-le-Grand
510651;Le Jubillé 3;Mercredi;46 R. Gallieni;92500;Rueil-Malmaison
530419;Tabac des Olympiades;Mercredi;66 Av. d'Ivry;75013;Paris
510574;Tabac d'Orgemont;;57 Av. de Stalingrad;95100;Argenteuil
520626;Tabac Notre Dame;;3 R. Lagrange;75005;Paris
510653;Tab'shop Batignolles;;24 Pl. Charles Fillion;75017;Paris
530424;Le Condorcet;Mercredi;230 Av. de la République;94700;Maisons-Alfort
510582;Tabac Le Derby;Dimanche;15 R. la Boétie;75008;Paris
520643;Tabac Bord de Marne;Jeudi;181 R. Diderot;94500;Champigny-sur-Marne
510658;L'Euphrate;;34 Bd Edgar Quinet;92700;Colombes
530433;Tabac de la Gare;Dimanche;3 Pl.  de la Gare;91600;Savigny-sur-Orge
510584;Le Chiquito;;128 Bd Jean Jaurès;92110;Clichy
520644;Le Brazza;;140 R. Pierre Brossolette;93160;Noisy-le-Grand
510663;des Champs Philippe;;4 Pl des champs Philippe;92250;La Garenne-Colombes
530438;Tabac de l'Empire;;59 Bd de Stalingrad;94400;Vitry-sur-Seine
510586;Tabac du Marché;;2 R. Voltaire;92250;La Garenne-Colombes
520648;Le Celtique;Dimanche;1 R. Anatole France;93130;Noisy-le-Sec
510666;Le Gala;Dimanche;81 R. Gabriel Péri;92700;Colombes
530444;Librairie des Coteau;Dimanche;10 R. du Dr Roux;91160;Longjumeau
510590;Toute la presse;Dimanche;0 106-107 R. du point du jour;92100;Boulogne-Billancourt
520655;Tabac Pte des Lilas;;306 R. de Belleville;75020;Paris
510668;Le Rapide;Dimanche;31 R. d'Anjou;92600;Asnières-sur-Seine
530451;Café le Renoir;Dimanche;207 R. Raymond Losserand;75014;Paris
510592;Tabac 68;Dimanche;68 R. du Poteau;75018;Paris
530036;Au Petit Caporal;Dimanche;1 R.Eugène Renault;94700;Maisons-Alfort
520094;Le Cornillon;Dimanche;15 R. Cornillon;77100;Meaux
530456;Espace Tabac;;80 Bd Port-Royal;75005;Paris
510599;Tabac des Blanches;;33 Bd Henri Barbusse;78800;Houilles
530063;Le Dispan;Dimanche;3 R. Dispan;94240;L'Haÿ-les-Roses
520137;Café de La Gare;Dimanche;10 Pl. de la Gare;93420;Villepinte
530471;Le Narval;Dimanche;46 R. du Commerce;94310;Orly
510603;Le Saint-Claude;;42 Bd de Verdun;92400;Courbevoie
530093;Aux livres Valentin;Dimanche;CCial 14 Av. du Mar. Mortier;94510;La Queue-en-Brie
520143;Le Chiquito;Jeudi;135 Av. Henri Barbusse;93700;Drancy
530472;La Concorde;Lundi;120 R. d'Estienne d'Orves;91370;Verrières-le-Buisson
510610;La Civette des Arts;;62 R. Damrémont;75018;Paris
530103;Le Calumet;Dimanche;30 R. Notre-Dame-des-Champs;75006;Paris
520161;Café de la Gare;;5 Av. Pierre Sémard;95400;Arnouville
530505;Café des 2 Gares;Dimanche;102 Av. du Général Leclerc;92340;Bourg-la-Reine
510614;Les Volcans;;105 R. du Fbg Poissonnière;75009;Paris
530152;Tabac - Presse;Dimanche;156 R. de Tolbiac;75013;Paris
520163;Le Celtique;Dimanche;83 R. Pierre Brossolette;95200;Sarcelles
530520;Tabac Presse;;92 R. Youri Gagarine;94800;Villejuif
510621;Tbc de la République;Lundi;1 Pl. de la République;92110;Clichy
530169;Le Petit Flore;Dimanche;6 R. Croix des Petits Champs;75001;Paris
520177;Tabac du Vieux Pays;Dimanche;17 R. de Verdun;95140;Garges-lès-Gonesse
530531;Tabac Grand Vaux;Dimanche;1 R. Henri Ouzilleau Ccial;91600;Savigny-sur-Orge
510622;Le Celtic;;104 Av. de Saint-Ouen;75018;Paris
530183;L'Ariel;Dimanche;242 R. de Tolbiac;75013;Paris
520203;Tabac Presse Boutout;Dimanche;7 Pl. des Nations unies;93000;Bobigny
530534;Le Bardy;;193 Bd  Aristide Briand;91600;Savigny-sur-Orge
510624;La Rose des Sables;Dimanche;22 Bd Gouvion-St-Cyr;75017;Paris
530193;Le Chaperon Vert;Jeudi;14 Av. du Chaperon Vert;94110;Arcueil
520237;La Civette Dorée;Dimanche;3 Bd  Soult;75012;Paris
530535;Le Cardinal;Lundi;71 R. Pierre Mendes France;91380;Chilly-Mazarin
510626;L'Aviation;;2 Rd-Pt Victor Hugo;92130;Issy-les-Moulineaux
530205;La Civette;Dimanche;107 Av. du Gén. de Gaulle;94000;Créteil
520285;Café du Musée;Dimanche;110 Av. du 8 mai 1945;93150;Le Blanc-Mesnil
530537;Le Verdon;Dimanche;127 bis Av. Verdier;92120;Montrouge
510635;Le Chiquito;Dimanche;16 Bd de Finlande;92700;Colombes
530249;Tabac Tolbiac;Dimanche;34 R. de Tolbiac;75013;Paris
520293;La Terrasse;Dimanche;10 Bd du Mar. Foch;93330;Neuilly-sur-Marne
530553;Le Longchamps;;88 Av. Aristide Briand;91420;Morangis
510639;Tabac des Sablons;Dimanche;30 R. Greuze;75016;Paris
530253;Brasserie des Sports;Dimanche;8 R. Raspail;94200;Ivry-sur-Seine
520294;Tabac de la Mairie;Dimanche;43 R. Henri Barbusse;93370;Montfermeil
530555;Civette Nationale;;10 Pl Pinel;75013;Paris
510640;Le Mozart;Dimanche;11 Bis R. Mozart;92230;Gennevilliers
530255;Le Petit Paris;;39 Av. de la République;92120;Montrouge
520311;Tabac-Loto-Presse;;26 R. de Rivoli;75004;Paris
530556;Tabac le Plaisance;;4 cour Joseph Dewalle;91200;Athis-Mons
510648;La Rotonde Hébertine;;3 Pl. Hébert;75018;Paris
530263;Café de la Mairie;;1 R. de la Gare;92320;Châtillon
520315;Le Nemrod;Dimanche;97 R. Henri Langlois;93700;Drancy
530557;Le Mokaffé;Dimanche;125 Bd Paul Vaillant Couturier;94200;Ivry-sur-Seine
510657;Le Chiquito;;5 R. des Bas Rogers;92150;Suresnes
530277;Royal St Maurice;Lundi;56Ter Av.Mar. de Lattre de Tassigny;94410;Saint-Maurice
520329;La Régence;;5 Av. du 8 mai 1945;95200;Sarcelles
530558;Le Royal;Dimanche;36 R. Marcel Grosmenil;94800;villejuif
510659;Le Calumet;Dimanche;29 R. Ramey;75018;Paris
530289;Le Mozart;;105 Av. du 18 avril;91200;Athis-Mons
520352;Le Vizir;Lundi;10 Av. de la Division Leclerc;95170;Deuil-la-Barre
530559;Tabac Le France;;33 Av. Eva Salmon;94400;Vitry-sur-Seine
510665;Tabac Le Tocqueville;Dimanche;55 Bd Pereire;75017;Paris
530291;Tabac  Arago;Dimanche;53 Bd  Arago;75013;Paris
520376;Le Gallia;Dimanche;39 R. Saint-Ambroise;75011;Paris
530571;Le Totem;Dimanche;63 Av. Paul Vaillant-Couturier;94400;Vitry-sur-Seine
520013;Madi's Sons;Dimanche;92 R. de la Roquette;75011;Paris
530294;Le Café Frappé;Dimanche;95 R. Montmartre;75002;Paris
520377;Les Incorruptibles;Dimanche;102 Av. du Général de Gaulle;94160;Saint-Mandé
530584;Le Monde en Marche;;60 Av. de Paris;92320;Châtillon
520047;Virgule;Dimanche;3 R. des Renouillères;93360;Neuilly-Plaisance
530305;Le Rond-Point;Dimanche;123 R. Monge;75005;Paris
520391;Le Concorde;Dimanche;146 Av. Jean Jaurès;75019;Paris
530587;Le Gambetta;Dimanche;1 Pl. de Rimini;94100;Saint-Maur-des-Fossés
520063;Tabac de L'Époque;Mercredi;2 R. Joannes;93220;Gagny
530334;La Tabatière;Dimanche;17 Bd Montmartre;75002;Paris
520399;Le Ninos;Dimanche;203 Av. Elisée Reclus;93380;Pierrefitte-sur-Seine
530593;Tabac de La Gare;;7 Pl. du 8 Mai 1945;94310;Orly
520070;Tabac du Bois l'Abbé;Dimanche;2 Pl. Rodin;94500;Champigny-sur-Marne
530335;Tabac de la Reynie;Dimanche;26 R. de la Reynie;75001;Paris
520412;Les Arcades;Dimanche;68 Av. Daumesnil;75012;Paris
540046;Le Fontenoy St Mandé;Dimanche;7 Pl. Charles Digeon;94160;Saint-Mandé
520086;Plessis Presse;Dimanche;38 Av. Ardouin;94420;Le Plessis-Trévise
530337;Le Reinitas;Dimanche;6 Pl. Paul Froment;94400;Vitry-sur-Seine
520421;Bar Monte Christo;Dimanche;16 Grande Rue;93250;Villemomble
540085;Tabac - Presse;Dimanche;71 Av. Aristide Briand;92160;Antony
520112;Le Fuégo;Dimanche;80 Av. Lénine;93380;Pierrefitte-sur-Seine
530338;Le Mondial;Lundi;157 bis R. Jean Jaurès;94700;Maisons-Alfort
520440;La Mont Joie;;171 Av. du Pdt Wilson;93210;La Plaine-Saint-Denis
540095;Le Diplomate;Mardi;103 R. du Gén. Leclerc;94000;Créteil
520126;Le Chavannes;Jeudi;162 All. de Montfermeil;93220;Gagny
530364;L'Escale;;111 Av. de la République;91600;Savigny-sur-Orge
520443;Le Tabac du Barrage;Dimanche;149 R. Gabriel Péri;93200;Saint-Denis
540184;Le Havane;Dimanche;45 Bd Jean Jaurès;92110;Clichy
520170;Le Maracana;Dimanche;35 R. du Général Leclerc;95500;Gonesse
530370;Le Flash;Dimanche;47 R. Boulard;75014;Paris
520450;Tabac la Mutualité;Dimanche;44 R. Henri Barbusse;93200;Saint-Denis
540192;Le Winston;Dimanche;91 Av. du Roule;92200;Neuilly-sur-Seine
520195;Le Rallye;Dimanche;82 R. du faubourg saint-Antoine;75012;Paris
530380;Le Mirbel;;4 R. de Mirbel;75005;Paris
520458;Tabac Suzanne;Dimanche;24 Av. Suzanne Buisson;93140;Bondy
540217;Tabac Le Vinci;Dimanche;17 Av. Léonard de Vinci;92400;Courbevoie
520215;Tabac de la Gare;Dimanche;2 Pl. Auribault;77340;Pontault-Combault
530382;Pourquoi Pas;;136 Av. d'Italie;75013;Paris
520467;Le Rallye;;77 R. du Général de Gaulle;94350;Villiers-sur-Marne
540232;Cépage Montmartrois;Dimanche;65 R. Caulaincourt;75018;Paris
520248;Le Voltigeur;Dimanche;136 R. des Couronnes;75020;Paris
530384;Maison de la Presse;Dimanche;137 Bd Auguste Blanqui;75013;Paris
520474;Tabac La Gitane;;3 R. Lassus;75019;Paris
540238;Tabac Point Presse;Dimanche;2 R. Frédéric Schneider Hall 1;75018;Paris
520251;Tabac des Colonnes;Dimanche;6 Cour de Vincennes;75012;Paris
530395;Le Paris Duquesne;Dimanche;41 Av. Duquesne;75007;Paris
520480;Le Jean Bart;;129 R. du Faubourg du Temple;75010;Paris
540259;Le Rendez Vous;Dimanche;10 Bd de la Villette;75019;Paris
520292;Le Marigny;;76 Av. de Flandre;75019;Paris
530396;Tabac - Presse;;8 Bd Montaigut;94000;Créteil
520481;L'Harmonie;;16 R. du Faubourg du Temple;75011;Paris
540349;Les Facultés;Dimanche;110 R. d'Assas;75006;Paris
520303;Civette du Bourget;Dimanche;15 R. Étienne Dolet;93350;Le Bourget
530398;Tabac Store 65;Dimanche;65 Bd Kellermann;75013;Paris
520490;Tabac de l'église;Lundi;0 2-4 R. du Général Gallieni;93110;Rosny-sous-Bois
540361;La Royale;Dimanche;80 R. de l'Am. Mouchez;75014;Paris
520313;L‘Européen;Dimanche;CCial du Champy-9 all Bat Hildevert;93160;Noisy-le-Grand
530409;ALPHA;Dimanche;22 R. Boucicaut;92260;Fontenay-aux-Roses
520498;Le Chiquito;;38 R. Levert;75020;Paris
540376;Tabac du Dôme;;108 Bd du Montparnasse;75014;Paris
520321;Le Bar des Amis;Lundi;38 Chemin de Groslay;93000;Bobigny
530418;Le Longchamps;Dimanche;21 R. de la Butte aux Cailles;75013;Paris
520500;Bar Le Diplomate;Samedi;48 Av. du Général Michel Bizot;75012;Paris
540440;Moulin d' Auteuil;Dimanche;75 R. d'Auteuil;75016;Paris
520326;Le Troquet du Temple;Dimanche;9 R. du Temple;75004;Paris
530429;Tabac des Catacombes;Dimanche;41 Av. du Gén. Leclerc;75014;Paris
520510;Le Balto;Dimanche;190 Bd  de Stalingrad;94500;Champigny-sur-Marne
540474;Le Castel;Dimanche;5 Av. de Suffren;75007;Paris
520332;La Royale;;15 Chemin d'Aubervilliers;93200;Saint-Denis
530441;Le Diplomate;;57 Av.de la République;94260;Fresnes
520521;Le Strasbourg;Lundi;1 Bd de Strasbourg;93600;Aulnay-sous-Bois
540486;Press'tation;Dimanche;45BIS R. de Vouillé;75015;Paris
520333;Le Narval;Dimanche;100 Bd de la Villette;75019;Paris
530448;Les Oliviers;Dimanche;66 R. Claude Bernard;75005;Paris
520527;Tabac-Presse;;2 R. Gaston Philippe;93200;Saint-Denis
540496;Le Liège;Dimanche;45 R. d'Amsterdam;75008;Paris
520340;Tabac-Presse;Dimanche;35 Bd  Aristide Briand;93100;Montreuil
530449;Café du Centre;;264 R. du Mar. Leclerc;94410;Saint-Maurice
520540;Civette de Pavillons;Dimanche;116 Av. Jean Jaurès;93320;Les Pavillons-sous-Bois
540528;Tabac des Petits C;Dimanche;43 R. des Petits-Champs;75001;Paris
520341;Le Royal;Dimanche;140 R. de la Jarry;94300;Vincennes
530455;Le Balto;;74 R. de Sèvres;75007;Paris
520546;Tabac Le Verdun;Jeudi;72 Bd  de Verdun;94120;Fontenay-sous-Bois
540548;La Civette de Bercy;;4 Pas. Saint-Emilion;75012;Paris
520344;Ambiance J;Dimanche;1 CCial du Val de Fontenay;94120;Fontenay-sous-Bois
530466;Le Tabarium;Dimanche;27 Av. des Gobelins;75013;Paris
520547;Tabac le Jaurès;;203 Av. Jean Jaurès;93000;Bobigny
540562;La Terrasse;Dimanche;1 Pl. Lachambeaudie;75012;Paris
520346;Le Belwo;;63 Av. Louis Aragon;93000;Bobigny
530469;Le Brazza;Dimanche;9 R. de Sevres;75006;Paris
520548;Tabac du Marché;Lundi;5 R. Jacques Duclos;93600;Aulnay-sous-Bois
540593;Au Bon Tabac;Dimanche;20 R. Émile Raspail;94110;Arcueil
520367;Tabac des Rigollots;Dimanche;153 R. Defrance;94300;Vincennes
530487;L'Escale;Dimanche;14 Av. de Verdun;94200;Ivry-sur-Seine
520549;Tabac Au Scribe;Lundi;18 R. Albert Thomas;94500;Champigny-sur-Marne
540598;Les Maréchaux;Dimanche;2 Av. Joffre;92380;Garches
520370;Tabac  Marronniers;Dimanche;4 All. de Gagny (C.Cial);93390;Clichy-sous-Bois
530490;Café de la Mairie;;5 R. d' Estienne d' Orves;94380;Bonneuil-sur-Marne
520556;Le Jean Bart;;137 Av. du Général de Gaulle;94170;Le Perreux-sur-Marne
540611;Victoria;Dimanche;106 Av. Anatole France;94400;Vitry-sur-Seine
520386;L'Harmonie;Lundi;1  Av. des Pyramides C.CIAL CARR;77420;Champs-sur-Marne
530492;Tabac du Languedoc;Dimanche;6 R. d'Alger;91300;Massy
520560;Le Café de la Gare;Samedi;22 Av. de la République;93110;Rosny-sous-Bois
540615;Le Marly;Dimanche;54 Av. du Roule;92200;Neuilly-sur-Seine
520388;L'Imprévu;Dimanche;1 Av. Paul Vaillant Couturier;93120;La Courneuve
530498;Stardust;;151 R. Houdan;92330;Sceaux
520563;Café Tabac leTiercé;Dimanche;3 Pl. Auguste Metivier;75020;Paris
540618;Le Cyrano;Dimanche;6 Pl. de la Gare des Vallées;92250;La Garenne-Colombes
520392;Le Saint-Claude;Dimanche;54 Av. Jean Lolive;93500;Pantin
530501;La Civette de l'Alma;;15 Av. Rapp;75007;Paris
520564;Le Magnanou;Dimanche;33 Av. Gallieni;93130;Noisy-le-Sec
540625;Le Villiers;Dimanche;100 Av. Pasteur;93100;Montreuil
520401;Civette de Bobigny;Dimanche;90 Bd  Maurice Thorez;93000;Bobigny
530503;La Tabatière;;80 Av. Marcellin Bethelot;92320;Châtillon
