stop_point_id;accessibility_level_id;accessibility_level_name;commentaire;stop_name;stop_point_geopoint
stop_point:IDFM:monomodalStopPlace:47589;1;gare ou arrêt non accessible;;L'Isle-Adam - Parmain;49.11454854558362, 2.209941858169547
stop_point:IDFM:monomodalStopPlace:43152;4;train accessible sur demande auprès d'un agent en station;;Lognes;48.839255049438655, 2.633026934567703
stop_point:IDFM:monomodalStopPlace:47940;4;train accessible sur demande auprès d'un agent en station;;Massy - Verrières;48.73498926809152, 2.2739511484048442
stop_point:IDFM:monomodalStopPlace:47582;1;gare ou arrêt non accessible;;Méry-sur-Oise;49.058277435287074, 2.1914182364676797
stop_point:IDFM:monomodalStopPlace:43167;3;train accessible sur réservation préalable auprès du service AssistenGare;;Montreuil;48.805965217521, 2.1528278413582385
stop_point:IDFM:monomodalStopPlace:47325;1;gare ou arrêt non accessible;;Montry - Condé;48.891071946593115, 2.8256554095986797
stop_point:IDFM:monomodalStopPlace:47943;1;gare ou arrêt non accessible;;Mouroux;48.813701725231546, 3.0430626039871616
stop_point:IDFM:monomodalStopPlace:47158;1;gare ou arrêt non accessible;;Nangis;48.5617195064875, 3.0121779578254295
stop_point:IDFM:monomodalStopPlace:43171;4;train accessible sur demande auprès d'un agent en station;;Nanterre Ville;48.89501972616058, 2.19511769490499
stop_point:IDFM:monomodalStopPlace:415093;1;gare ou arrêt non accessible;;Neuilly Porte Maillot;48.878347804048644, 2.284217509613705
stop_point:IDFM:monomodalStopPlace:44201;3;train accessible sur réservation préalable auprès du service AssistenGare;;Noisy-le-Sec;48.8966634168645, 2.4591980956866797
stop_point:IDFM:monomodalStopPlace:46299;1;gare ou arrêt non accessible;;Orly Ville;48.74163230680523, 2.4030548924063897
stop_point:IDFM:monomodalStopPlace:43180;1;gare ou arrêt non accessible;;Pierrelaye;49.01917957374756, 2.1545313948758564
stop_point:IDFM:monomodalStopPlace:43181;1;gare ou arrêt non accessible;;Plaisir - Les Clayes;48.830838967119995, 1.960091444651348
stop_point:IDFM:monomodalStopPlace:45493;1;gare ou arrêt non accessible;;Pont Cardinet;48.88839532721545, 2.312950431098551
stop_point:IDFM:monomodalStopPlace:47907;1;gare ou arrêt non accessible;;Pont de Rungis Aéroport d'Orly;48.74834625868034, 2.373209854795934
stop_point:IDFM:monomodalStopPlace:58798;3;train accessible sur réservation préalable auprès du service AssistenGare;;Pont du Garigliano - Hôpital Européen G. Pompidou;48.83888336270874, 2.2704701876900395
stop_point:IDFM:monomodalStopPlace:47595;1;gare ou arrêt non accessible;;Pont Petit;49.06087605161007, 2.131241645234573
stop_point:IDFM:monomodalStopPlace:45812;1;gare ou arrêt non accessible;;Ponthierry - Pringy;48.535084951085466, 2.5445365646399507
stop_point:IDFM:monomodalStopPlace:44500;4;train accessible sur demande auprès d'un agent en station;;Port Royal;48.840064350218256, 2.3371383995944486
stop_point:IDFM:monomodalStopPlace:44514;1;gare ou arrêt non accessible;;Porte de Clichy;48.894262568309564, 2.3159411535514716
stop_point:IDFM:monomodalStopPlace:427870;3;train accessible sur réservation préalable auprès du service AssistenGare;;Rambouillet;48.6438460126836, 1.832207614506548
stop_point:IDFM:monomodalStopPlace:47948;1;gare ou arrêt non accessible;;Ris-Orangis;48.659057463386254, 2.414997460834355
stop_point:IDFM:monomodalStopPlace:58498;3;train accessible sur réservation préalable auprès du service AssistenGare;;Rosa Parks;48.89645824176388, 2.3737182728654673
stop_point:IDFM:monomodalStopPlace:42356;1;gare ou arrêt non accessible;;Rosny Bois Perrier;48.88258632328664, 2.4811863962676766
stop_point:IDFM:monomodalStopPlace:47115;1;gare ou arrêt non accessible;;Saint-Martin d'Étampes;48.42748765080825, 2.145258831307165
stop_point:IDFM:monomodalStopPlace:461504;1;gare ou arrêt non accessible;;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;48.78748491597792, 2.044615988930814
stop_point:IDFM:monomodalStopPlace:43189;3;train accessible sur réservation préalable auprès du service AssistenGare;;Sannois;48.970881176549405, 2.263820283806777
stop_point:IDFM:monomodalStopPlace:47949;1;gare ou arrêt non accessible;;Santeuil - Le Perchay;49.12334471123142, 1.949406923865895
stop_point:IDFM:monomodalStopPlace:43206;1;gare ou arrêt non accessible;;Taverny;49.024976382846596, 2.222287008769188
stop_point:IDFM:monomodalStopPlace:47922;1;gare ou arrêt non accessible;;Us;49.09955483034093, 1.9705444983242866
stop_point:IDFM:monomodalStopPlace:47588;1;gare ou arrêt non accessible;;Valmondois;49.09093718795672, 2.2019152338634327
stop_point:IDFM:monomodalStopPlace:43214;1;gare ou arrêt non accessible;;Vanves - Malakoff;48.81828945559893, 2.2919742374890983
stop_point:IDFM:monomodalStopPlace:47964;3;train accessible sur réservation préalable auprès du service AssistenGare;;Vernouillet - Verneuil;48.981645855003116, 1.9829377621754614
stop_point:IDFM:monomodalStopPlace:43219;3;train accessible sur réservation préalable auprès du service AssistenGare;;Versailles Chantiers;48.79526039893613, 2.1349078603373464
stop_point:IDFM:monomodalStopPlace:43220;3;train accessible sur réservation préalable auprès du service AssistenGare;;Versailles Château Rive Gauche;48.79991350059487, 2.130150772175517
stop_point:IDFM:monomodalStopPlace:46222;3;train accessible sur réservation préalable auprès du service AssistenGare;;Vert Galant;48.944091645418105, 2.5663968806983126
stop_point:IDFM:monomodalStopPlace:411464;1;gare ou arrêt non accessible;;Villeneuve-la-Guyard;48.34261875935412, 3.0720201061041963
stop_point:IDFM:monomodalStopPlace:47966;1;gare ou arrêt non accessible;;Villennes-sur-Seine;48.93983138477974, 1.999557321396041
stop_point:IDFM:monomodalStopPlace:58793;3;train accessible sur réservation préalable auprès du service AssistenGare;;Villepinte;48.96256540760733, 2.512783848981341
stop_point:IDFM:monomodalStopPlace:43221;1;gare ou arrêt non accessible;;Villepreux - Les Clayes;48.82366793006802, 1.992798523459497
stop_point:IDFM:monomodalStopPlace:58581;1;gare ou arrêt non accessible;;Villiers Montbarbin;48.86354898645753, 2.882573667971905
