NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 75116008;LONGCHAMP;48.854833;2.233667;27;20240211;;;;;;;72;9;455;9;;;;;;;;;;;12;9;73;1;1118;9;89;1;1;9;82;1;0;9;1024;9;9.5;9;1.0;9;1.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240212;;;;;;;132;9;571;9;;;;;;;;;;;22;9;60;1;1335;9;97;1;2255;9;82;1;0;9;1001;9;8.0;9;1.3;9;1.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240213;;;;;;;230;9;737;9;;;;;;;;;;;39;9;63;1;1217;9;97;1;129;9;81;1;0;9;761;9;8.5;9;0.4;9;0.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240214;;;;;;;91;9;517;9;;;;;;;;;;;15;9;73;1;1438;9;94;1;511;9;85;1;0;9;1124;9;12.5;9;1.2;9;1.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240215;;;;;;;409;9;869;9;;;;;;;;;;;68;9;50;1;1451;9;98;1;807;9;72;1;0;9;542;9;10.9;9;1.2;9;2.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240216;;;;;;;0;9;272;9;;;;;;;;;;;0;9;63;1;11;9;89;1;1013;9;73;1;0;9;308;9;11.1;9;1.8;9;2.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240217;;;;;;;396;9;980;9;;;;;;;;;;;66;9;49;1;1252;9;79;1;634;9;64;1;0;9;0;9;8.7;9;1.9;9;2.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240218;;;;;;;16;9;202;9;;;;;;;;;;;3;9;71;1;14;9;92;1;1413;9;84;1;0;9;896;9;10.6;9;0.8;9;1.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240219;;;;;;;16;9;335;9;;;;;;;;;;;3;9;73;1;1412;9;91;1;110;9;85;1;0;9;1188;9;10.8;9;1.0;9;1.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240220;;;;;;;92;9;565;9;;;;;;;;;;;15;9;74;1;1610;9;95;1;524;9;87;1;0;9;1153;9;9.5;9;1.0;9;1.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240221;;;;;;;0;9;325;9;;;;;;;;;;;0;9;72;1;1212;9;94;1;2145;9;87;1;0;9;1231;9;10.3;9;0.9;9;1.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240222;;;;;;;29;9;285;9;;;;;;;;;;;5;9;62;1;1856;9;95;1;110;9;85;1;0;9;950;9;11.1;9;1.1;9;1.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240223;;;;;;;157;9;627;9;;;;;;;;;;;25;9;62;1;1337;9;86;1;2338;9;80;1;0;9;907;9;7.6;9;1.5;9;1.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240224;;;;;;;186;9;755;9;;;;;;;;;;;30;9;63;1;1409;9;90;1;1813;9;80;1;0;9;1002;9;7.5;9;1.3;9;1.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240225;;;;;;;0;9;285;9;;;;;;;;;;;0;9;76;1;1248;9;96;1;2259;9;89;1;0;9;1340;9;9.1;9;0.6;9;0.7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240226;;;;;;;0;9;246;9;;;;;;;;;;;0;9;86;1;1559;9;96;1;35;9;91;1;0;9;1440;9;9.7;9;0.8;9;0.7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240227;;;;;;;145;9;663;9;;;;;;;;;;;23;9;64;1;1553;9;89;1;1;9;79;1;0;9;747;9;7.7;9;1.6;9;1.7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240228;;;;;;;304;9;906;9;;;;;;;;;;;47;9;67;1;1316;9;98;1;715;9;83;1;0;9;895;9;8.1;9;0.5;9;0.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75116008;LONGCHAMP;48.854833;2.233667;27;20240229;;;;;;;0;9;229;9;;;;;;;;;;;0;9;80;1;1;9;93;1;1647;9;89;1;0;9;1440;9;10.8;9;0.6;9;0.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
